country,power_index,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,gdp,alliance
Egypt,0.3651,111247248,45611372,38269053,1668709,438500,479000,300000,1088,242,90,53,344,11,0,348,100,3620,54694,1056,962,648,149,235989,0,2,8,0,13,7,61,17,5193500000,117272000000,1958000000000,44921000000,73,33749000,31,441,5085 km,65050 km,667000 bbl,830000 bbl,3300000000 bbl,64817000000 Cu.M,60089000000 Cu.M,1784000000000 Cu.M,69000 Cu.M,3262000 mt,182000000 Cu.M,1001450 km,2450 km,2612 km,3500 km,Africa,Northern Africa,92021865893.5,NATO
Ukraine,0.3691,35661826,18187531,12731272,392280,900000,4000000,100000,347,88,30,22,72,5,0,140,39,1121,45458,682,625,288,169,22266,0,0,0,0,0,0,133,5,45000000000,90003000000,577583000000,43781000000,152,20539000,26,410,21733 km,169694 km,3000 bbl,192000 bbl,395000000 bbl,18725000000 Cu.M,22856000000 Cu.M,1104000000000 Cu.M,19603000 Cu.M,25012000 mt,34375000000 Cu.M,603550 km,2782 km,5581 km,1672 km,Europe,Eastern Europe,161000000000.0,NATO
Poland,0.3891,38746310,18985692,15576017,464956,250000,350000,50000,457,58,12,44,112,11,0,224,29,798,57972,593,0,298,63,55530,0,0,1,0,2,2,3,29,55865141600,425641700000,1649000000000,223115000000,318,18245000,10,152,19461 km,427580 km,24000 bbl,743000 bbl,113000000 bbl,5551000000 Cu.M,20056000000 Cu.M,91492000000 Cu.M,96720000 Cu.M,99932000 mt,27758000000 Cu.M,312685 km,440 km,2845 km,3997 km,Europe,Eastern Europe,688000000000.0,NATO
Taiwan,0.3927,23595274,12269542,1061787,306739,230000,1657000,55000,720,258,0,19,215,18,0,239,91,1090,24067,488,1360,223,91,244050,0,0,4,4,21,7,36,10,31180000000,229900000000,1743000000000,541898500000,57,11842940,8,465,1613 km,43206 km,800 bbl,954000 bbl,2380000 bbl,63747000 Cu.M,21157000000 Cu.M,6230000000 Cu.M,5212000 Cu.M,64609000 mt,1000000 Cu.M,35980 km,1566 km,0 km,0 km,Asia,Eastern Asia,92021865893.5,NATO
Vietnam,0.4066,105758975,54994667,45053323,1797903,450000,5000000,250000,265,61,0,6,91,3,0,101,0,1999,69914,30,3250,774,116,102147,0,0,6,0,9,17,27,8,10200000000,34426000000,1456000000000,83082000000,36,57133000,16,1973,2600 km,195468 km,187000 bbl,544000 bbl,4400000000 bbl,7676000000 Cu.M,7676000000 Cu.M,699426000000 Cu.M,51519000 Cu.M,96099000 mt,3116000000 Cu.M,331210 km,3444 km,4616 km,47130 km,Asia,South-eastern Asia,409000000000.0,NATO
Thailand,0.4458,69920998,36358919,27968399,1118736,360850,200000,25000,496,73,26,52,134,25,0,258,7,744,52590,59,595,17,304,133523,0,1,0,0,7,5,254,5,6006660000,37065000000,1558000000000,236934000000,105,40623000,21,884,4127 km,180053 km,386000 bbl,1397000 bbl,252750000 bbl,30797000000 Cu.M,48898000000 Cu.M,138243000000 Cu.M,12812000 Cu.M,42371000 mt,1063000000 Cu.M,513120 km,3219 km,5673 km,4000 km,Asia,South-eastern Asia,495000000000.0,NATO
Saudi Arabia,0.4473,36544431,19003104,17468238,621255,247000,0,150000,917,283,81,49,202,16,22,264,34,1085,22370,380,557,327,32,49727,0,0,0,0,7,9,9,3,63988055520,248171000000,2213000000000,463870000000,90,17168000,16,433,5410 km,221372 km,11174000 bbl,3524000 bbl,258600000000 bbl,121870000000 Cu.M,121870000000 Cu.M,9423000000000 Cu.M,0 Cu.M,66000 mt,0 Cu.M,2149690 km,2640 km,4272 km,0 km,Asia,Western Asia,1110000000000.0,NATO
Sweden,0.4834,10589835,4235934,3558185,105898,25600,34000,104400,172,73,0,6,36,3,1,53,0,110,27576,24,0,0,279,39816,0,0,4,0,0,7,116,8,15900000000,1102693570000,668628000000,62569000000,206,5699000,92,361,10910 km,197964 km,11000 bbl,270000 bbl,0 bbl,0 Cu.M,889924000 Cu.M,0 Cu.M,1042000 Cu.M,3170000 mt,5000000 Cu.M,450295 km,3218 km,2211 km,2052 km,Europe,Northern Europe,586000000000.0,NATO
Algeria,0.4849,47022473,22570787,19185169,752360,130000,150000,150000,620,111,42,63,90,10,4,300,74,1485,24920,224,483,188,111,83480,0,0,6,0,8,8,75,3,25000000000,4764000000,722912000000,83007000000,95,13294000,17,119,4020 km,112696 km,1443000 bbl,446000 bbl,12200000000 bbl,100726000000 Cu.M,47963000000 Cu.M,4504000000000 Cu.M,0 Cu.M,3000 mt,233000000 Cu.M,2381740 km,998 km,6734 km,0 km,Africa,Northern Africa,192000000000.0,NATO
Canada,0.5269,38794813,16681770,13500595,426743,63500,23000,5500,354,66,0,29,95,34,6,146,0,74,21780,0,0,0,67,119637,0,0,4,0,12,0,17,0,45824959620,2571113270000,2341000000000,119778000000,1425,22868000,284,716,49422 km,1042300 km,5688000 bbl,2377000 bbl,170300000000 bbl,187686000000 Cu.M,130316000000 Cu.M,2067126000000 Cu.M,50687000 Cu.M,20092000 mt,6582000000 Cu.M,9984670 km,202080 km,8893 km,636 km,Americas,Northern America,2140000000000.0,NATO
Singapore,0.5272,6028459,3918498,2628408,66313,51000,252500,12000,235,100,0,9,36,9,11,75,20,170,17244,48,89,24,101,93244,0,0,6,0,6,6,55,4,18000000000,1884751660000,800304000000,383946000000,9,3722000,5,3202,0 km,3500 km,0 bbl,1514000 bbl,0 bbl,0 Cu.M,13724000000 Cu.M,0 Cu.M,0 Cu.M,1153000 mt,0 Cu.M,719 km,193 km,0 km,0 km,Asia,South-eastern Asia,467000000000.0,NATO
Greece,0.5484,10461091,4916713,3985676,104611,142700,221350,55000,560,178,0,17,86,8,0,285,28,1344,56416,589,698,152,186,215808,0,0,9,0,14,0,45,3,8242150000,605000000000,192205000000,15222000000,82,4655000,57,1215,2345 km,117000 km,5000 bbl,308000 bbl,10000000 bbl,3284000 Cu.M,5173000000 Cu.M,991090000 Cu.M,10469000 Cu.M,10091000 mt,2876000000 Cu.M,131957 km,13676 km,1110 km,6 km,Europe,Southern Europe,219000000000.0,NATO
North Korea,0.5933,26298666,9467520,5312331,420779,1320000,560000,100000,837,341,114,1,176,0,0,205,20,4895,47792,1300,700,1500,332,143304,0,0,24,2,2,8,227,1,4750000000,6050000000,15416000000,5500000000,81,17637000,10,264,7435 km,25554 km,0 bbl,18000 bbl,0 bbl,0 Cu.M,0 Cu.M,0 Cu.M,21927000 Cu.M,22105000 mt,10600000000 Cu.M,120538 km,2495 km,1607 km,2250 km,Asia,Sub-Saharan Africa,92021865893.5,NATO
Argentina,0.5983,46994384,20677529,17575900,704916,108000,12370,20000,241,23,11,25,71,13,2,96,0,362,22432,20,172,27,42,122128,0,0,2,3,0,6,13,0,993919790,74362000000,1213000000000,29560000000,764,22286000,37,201,17866 km,240000 km,807000 bbl,749000 bbl,2483000000 bbl,43280000000 Cu.M,46228000000 Cu.M,396464000000 Cu.M,869000 Cu.M,2534000 mt,799999000 Cu.M,2780400 km,4989 km,11968 km,11000 km,Americas,Latin America and the Caribbean,633000000000.0,NATO
Nigeria,0.6097,236747130,125475979,90437404,4261448,230000,0,50000,159,14,24,12,28,12,0,69,15,330,12219,40,339,37,152,38052,0,0,0,0,1,0,132,2,3900000000,45009000000,1318000000000,38612000000,50,113350000,28,928,3798 km,195000 km,1541000 bbl,527000 bbl,36890000000 bbl,39951000000 Cu.M,20719000000 Cu.M,5761000000000 Cu.M,1322000 Cu.M,1326000 mt,2144000000 Cu.M,923768 km,853 km,4477 km,8600 km,Africa,Sub-Saharan Africa,477000000000.0,NATO
Netherlands,0.6142,17772378,7997570,6486918,195496,44245,8510,5000,130,0,38,4,21,0,0,67,16,18,6689,46,0,4,140,147606,0,0,3,0,6,0,76,3,31791150000,5257949730000,1276000000000,79129000000,44,10315000,18,1187,3055 km,139027 km,70000 bbl,840000 bbl,137747000 bbl,17774000000 Cu.M,33243000000 Cu.M,132608000000 Cu.M,1761000 Cu.M,12796000 mt,3247000000 Cu.M,41543 km,451 km,1053 km,6237 km,Europe,Western Europe,991000000000.0,NATO
Myanmar,0.6265,57527139,30489384,21975367,1035489,228000,19000,55000,331,70,20,33,120,5,0,86,9,1040,11576,225,1680,1520,239,89240,0,0,3,0,6,3,146,2,2815031361,8748000000,287559000000,8590400000,74,22742000,7,101,5031 km,157000 km,7000 bbl,122000 bbl,139000000 bbl,16780000000 Cu.M,3788000000 Cu.M,637129000000 Cu.M,1031000 Cu.M,907000 mt,252000000 Cu.M,676578 km,1930 km,6522 km,12800 km,Asia,South-eastern Asia,59364362541.0,NATO
Mexico,0.6401,130739927,61447766,49811912,2222579,387000,98653,120000,424,2,32,40,175,25,0,173,0,0,23548,35,0,0,164,10190,0,0,0,0,1,3,142,0,9100000000,306308000000,2883000000000,232035000000,1580,60959000,35,674,23389 km,704884 km,2101000 bbl,1741000 bbl,5786000000 bbl,31422000000 Cu.M,90566000000 Cu.M,180322000000 Cu.M,6296000 Cu.M,15132000 mt,1160000000 Cu.M,1964375 km,9330 km,4389 km,2900 km,Americas,Latin America and the Caribbean,1410000000000.0,NATO
Bangladesh,0.6517,168697184,82661620,66129296,3205246,204000,0,6800000,212,41,0,17,83,4,0,67,0,320,11584,36,487,103,121,75280,0,0,2,0,7,6,61,5,3340000000,58020000000,1473000000000,21395000000,17,77355000,2,558,2460 km,369105 km,13000 bbl,263000 bbl,28000000 bbl,24620000000 Cu.M,30384000000 Cu.M,126293000000 Cu.M,767000 Cu.M,14050000 mt,3260000000 Cu.M,148460 km,580 km,4413 km,8370 km,Asia,Southern Asia,460000000000.0,NATO
Portugal,0.6659,10639726,5319863,4096295,127677,25000,23500,23300,128,28,5,20,23,16,4,36,0,34,10419,23,54,0,128,42755,0,0,2,0,5,2,71,0,6760000000,530000000000,556942000000,55160000000,136,5332100,36,1158,3622 km,136635 km,12932 bbl,200000 bbl,22440000 bbl,0 Cu.M,3700000000 Cu.M,72000000000 Cu.M,0 Cu.M,0 mt,40000000 Cu.M,92090 km,1793 km,1224 km,764 km,Europe,Southern Europe,252000000000.0,NATO
Norway,0.6679,5509733,2203893,1807192,71627,33440,20100,40500,109,0,43,4,23,5,0,34,0,36,11441,28,0,0,48,66022,0,0,6,0,4,6,20,5,11189483200,787758400000,507680000000,81242000000,146,3042000,141,1720,3848 km,95120 km,2020000 bbl,229000 bbl,8122200000 bbl,123727000000 Cu.M,4548000000 Cu.M,1544455000000 Cu.M,120000 Cu.M,1096000 mt,2000000 Cu.M,323802 km,25148 km,2566 km,1577 km,Europe,Northern Europe,579000000000.0,NATO
South Africa,0.6843,60442647,27803618,14989776,1027525,68731,29350,50000,181,2,0,11,81,0,0,87,10,248,23024,52,434,201,63,43881,0,0,3,0,4,0,42,4,2877000000,93879000000,870420000000,65435000000,573,27766000,8,110,30400 km,750000 km,88000 bbl,609000 bbl,15000000 bbl,59128000 Cu.M,4487000000 Cu.M,0 Cu.M,239712000 Cu.M,176095000 mt,9893000000 Cu.M,1219090 km,2798 km,5244 km,0 km,Africa,Sub-Saharan Africa,406000000000.0,NATO
Philippines,0.6993,118277063,50859137,41751803,2128987,160000,1500000,35000,204,0,17,23,23,11,0,130,6,18,20551,12,296,0,127,84578,0,0,0,0,4,1,60,0,6571641011,63241000000,1202000000000,106195000000,256,50979000,70,2203,77 km,216387 km,10000 bbl,457000 bbl,138500000 bbl,2251000000 Cu.M,2251000000 Cu.M,98543000000 Cu.M,14457000 Cu.M,42859000 mt,361000000 Cu.M,300000 km,36289 km,0 km,3219 km,Asia,South-eastern Asia,404000000000.0,NATO
Malaysia,0.7379,34564810,16245461,13480276,553037,113000,51600,100000,132,25,11,15,31,6,4,45,0,48,15415,0,196,36,100,67735,0,0,2,0,2,4,72,4,5100000000,8748000000,1212000000000,116229000000,100,18264000,35,1750,1851 km,144403 km,582000 bbl,672000 bbl,3600000000 bbl,75456000000 Cu.M,42499000000 Cu.M,1189000000000 Cu.M,4476000 Cu.M,35741000 mt,226000000 Cu.M,329847 km,4675 km,2742 km,7200 km,Asia,South-eastern Asia,406000000000.0,NATO
Colombia,0.7551,49588357,24298295,19190694,843002,429000,998000,150000,430,16,24,82,72,27,1,255,0,0,12780,6,110,0,213,31090,0,0,4,0,9,2,158,0,15800000000,108027000000,978024000000,61898000000,661,26822000,14,153,2141 km,206102 km,800000 bbl,374000 bbl,2036000000 bbl,11290000000 Cu.M,11451000000 Cu.M,87782000000 Cu.M,52376000 Cu.M,9720000 mt,4554000000 Cu.M,1138910 km,3208 km,6672 km,24725 km,Americas,Latin America and the Caribbean,344000000000.0,NATO
Iraq,0.8115,42083436,17675043,14308368,715418,193000,0,100000,360,26,36,15,111,17,0,183,39,1188,37496,434,610,572,67,32565,0,0,0,0,0,1,55,0,8000000000,15580000000,585887000000,100691000000,73,12008000,6,74,2272 km,59623 km,4448000 bbl,1043000 bbl,145019000000 bbl,9860000000 Cu.M,19298000000 Cu.M,3729000000000 Cu.M,0 Cu.M,0 mt,0 Cu.M,438317 km,58 km,3809 km,5279 km,Asia,Western Asia,264000000000.0,NATO
Denmark,0.8198,5973136,2628180,2126436,77651,21000,12000,51000,122,26,19,4,36,3,0,34,0,44,5930,19,0,8,50,121180,0,0,0,0,9,0,9,6,14250000000,611050000000,440558000000,108405000000,102,3210000,69,715,2682 km,73591 km,63000 bbl,151000 bbl,441000000 bbl,1879000000 Cu.M,2208000000 Cu.M,29534000000 Cu.M,0 Cu.M,1135000 mt,0 Cu.M,43094 km,7314 km,140 km,400 km,Europe,Northern Europe,395000000000.0,NATO
Switzerland,0.8396,8860574,3898653,3163225,97466,147178,0,5000,141,40,0,16,43,3,0,39,0,134,6885,133,0,0,0,10190,0,0,0,0,0,0,0,0,8372658426,2420000000000,741035000000,909366000000,66,5153000,0,17,5296 km,83131 km,300 bbl,194000 bbl,0 bbl,0 Cu.M,3138000000 Cu.M,0 Cu.M,0 Cu.M,126000 mt,0 Cu.M,41277 km,0 km,1770 km,1292 km,Europe,Western Europe,808000000000.0,NATO
Ethiopia,0.8525,118550298,56904143,35327989,2726657,503000,138000,0,104,25,0,9,34,0,0,33,7,338,8586,142,469,79,0,10190,0,0,0,0,0,0,0,0,3720968976,25426000000,380895000000,3784000000,58,54470000,0,12,659 km,180000 km,0 bbl,102000 bbl,428000 bbl,0 Cu.M,0 Cu.M,24919000000 Cu.M,456000 Cu.M,1653000 mt,0 Cu.M,1104300 km,0 km,5925 km,0 km,Africa,Sub-Saharan Africa,127000000000.0,NATO
Finland,0.8673,5626414,2306830,1912981,56264,24000,870000,53800,162,53,0,11,77,1,0,27,0,200,14866,125,667,76,165,19434,0,0,0,0,0,0,8,18,8890000000,726000000000,313591000000,17993000000,98,2898000,37,282,5918 km,108637 km,8000 bbl,175000 bbl,0 bbl,0 Cu.M,1157000000 Cu.M,0 Cu.M,811000 Cu.M,3933000 mt,0 Cu.M,338145 km,1250 km,2563 km,8000 km,Europe,Northern Europe,281000000000.0,NATO
