Country,Active_Personnel,Total_Aircraft,Aircraft_Carriers,Airports,Total_Area,Armored_Vehicles,Defense_Budget,Destroyers,Fighters,Fleet_Strength,Frigates,GDP,Helicopters,Population,Ports,Railways,Reserve_Personnel,Roadways,Rocket_Projectors,Submarines,Tanks
Honduras,52225,45,0,129,112090,4666,612300000,0,6,98,0,71297000000,11,9529188,8,699,0,14742,0,0,22
Hungary,41600,80,0,109,103000,11502,5887250000,0,12,0,0,389207000000,50,9855745,0,7687,20000,203601,0,0,220
Iceland,0,0,0,82,100250,350,500000000,0,0,0,0,26561000000,0,364036,43,0,0,12905,0,0,0
India,1431000,2183,2,315,3287263,163554,109000000000,13,476,343,18,14244000000000,594,1409128296,56,65554,1000000,6371847,300,18,3913
Indonesia,404500,460,0,556,1904569,28064,11155297716,0,41,338,10,4102000000000,212,281562465,123,8159,401000,496607,67,4,331
Iran,610000,551,0,177,1648195,75939,9230000000,0,188,109,7,1486000000000,129,88386937,18,8484,350000,223485,1550,25,2675
Iraq,193000,360,0,73,438317,37496,8000000000,0,26,67,0,585887000000,183,42083436,6,2272,0,59623,572,0,1188
Ireland,7557,23,0,100,70273,3296,1754400500,0,0,8,0,620544000000,8,5233461,21,1688,1720,102227,0,0,0
Israel,169500,597,0,40,21937,62380,34600000000,0,239,82,0,472177000000,127,9402617,5,1497,465000,20391,228,6,1300
Italy,165500,714,2,655,301340,87364,37325165000,3,88,285,14,3133000000000,352,60964931,123,18475,18300,228863,21,8,203
Ivory Coast,22000,22,0,29,322463,1328,18200000,0,0,8,0,215018000000,14,29981758,5,660,0,81996,6,0,0
Japan,251500,1429,0,280,377915,54390,58000000000,41,217,158,8,5715000000000,583,123201945,163,27311,56000,1218772,99,23,734
Jordan,114500,279,0,18,89342,25278,2668500000,0,44,27,0,109986000000,159,11174024,1,509,100000,7203,84,0,1508
Kazakhstan,110000,168,0,132,2724900,17460,5836386000,0,37,26,0,739385000000,72,20260006,0,16636,135000,96167,287,0,353
Kenya,50000,154,0,368,580367,9114,1651803025,0,17,27,0,328632000000,84,58246378,4,3819,0,161452,0,0,188
Kosovo,4000,0,0,2,10887,1357,1177450000,0,0,0,0,25019000000,0,1977093,0,437,5000,2248,0,0,0
Kuwait,78000,133,0,6,17818,7472,7987000000,0,47,123,0,225947000000,68,3138355,6,0,24000,5749,27,0,367
Kyrgyzstan,23000,7,0,28,199951,5372,654000000,0,0,0,0,50907000000,7,6172101,0,424,0,34000,21,0,215
Laos,100000,29,0,20,236800,7725,355600000,0,0,51,0,66905000000,20,7953556,0,422,30000,59647,64,0,160
Latvia,17870,3,0,55,64589,3410,42000000,0,0,18,0,72516000000,3,1801246,5,2216,38000,57972,0,0,0
Lebanon,80000,80,0,8,10400,6912,800000000,0,0,48,0,65415000000,68,5364482,5,401,15000,21705,11,0,334
Liberia,2100,0,0,19,111369,550,20700000,0,0,6,0,9308000000,0,5437249,4,429,0,10600,0,0,0
Libya,32000,83,0,75,1759540,2728,1474800000,0,10,5,1,90609000000,22,7361263,14,0,0,34000,25,0,55
Lithuania,23000,9,0,64,65300,4553,5651760000,0,0,13,0,136227000000,4,2628186,2,1911,104000,83821,0,0,0
Luxembourg,1200,1,0,3,2586,476,1530685000,0,0,0,0,86871000000,0,671254,0,271,0,2746,0,0,0
Madagascar,13500,6,0,93,587040,316,147630000,0,0,7,0,52968000000,5,29452714,13,836,0,31640,0,0,12
Malaysia,113000,132,0,100,329847,15415,5100000000,0,25,100,2,1212000000000,45,34564810,35,1851,51600,144403,36,2,48
Mali,40000,44,0,30,1240192,3717,1110000000,0,9,0,0,71253000000,10,21990607,0,593,0,139107,30,0,0
Mauritania,31540,23,0,25,1030700,5024,270625000,0,0,6,0,33069000000,4,4328040,2,728,66000,12253,0,0,51
Mexico,387000,424,0,1580,1964375,23548,9100000000,0,2,164,1,2883000000000,173,130739927,35,23389,98653,704884,0,0,0
Moldova,6500,3,0,10,33851,1598,114114000,0,0,0,0,39342000000,2,3599528,0,1171,2000,9488,11,0,0
Mongolia,35000,8,0,37,1564116,11040,1590000000,0,0,0,0,59221000000,3,3281676,0,1815,230000,113200,130,0,420
Montenegro,2350,10,0,5,13812,946,204000000,0,0,20,0,17375000000,10,599849,4,250,0,7762,12,0,0
Morocco,400000,271,0,48,715550,17594,16100000000,0,84,100,6,350594000000,73,37387585,12,2067,250000,57300,185,0,1346
Mozambique,11200,23,0,92,799380,3488,480000000,0,8,36,0,51786000000,7,33350954,11,4787,0,30562,12,0,60
Myanmar,228000,331,0,74,676578,11576,2815031361,0,70,239,6,287559000000,86,57527139,7,5031,19000,157000,1520,3,1040
Namibia,17567,36,0,259,824292,2402,450498000,0,11,15,0,31154000000,7,2803660,2,2628,0,48875,55,0,7
Nepal,98500,17,0,51,147181,1108,431355326,0,0,0,0,149643000000,10,31122387,0,59,82000,64500,0,0,0
Netherlands,44245,130,0,44,41543,6689,31791150000,0,0,140,6,1276000000000,67,17772378,18,3055,8510,139027,4,3,18
New Zealand,10050,47,0,206,268838,3378,2455949332,0,0,8,2,257117000000,21,5161211,22,4128,3300,94000,0,0,0
Nicaragua,45000,17,0,39,130370,6344,1311600000,0,0,23,0,52989000000,12,6676948,5,0,0,24033,151,0,186
Niger,25000,26,0,26,1267000,1550,488400000,0,0,0,0,47921000000,13,26342784,0,0,0,18949,0,0,0
Nigeria,230000,159,0,50,923768,12219,3900000000,0,14,152,1,1318000000000,69,236747130,28,3798,0,195000,37,0,330
North Korea,1320000,837,0,81,120538,47792,4750000000,2,341,332,2,15416000000,205,26298666,10,7435,560000,25554,1500,24,4895
North Macedonia,10010,20,0,13,25713,1878,421527100,0,0,0,0,43844000000,10,2135622,0,699,60000,15170,18,0,0
Norway,33440,109,0,146,323802,11441,11189483200,0,0,48,4,507680000000,34,5509733,141,3848,20100,95120,0,6,36
Oman,100000,128,0,37,309500,11380,8364000000,0,29,17,0,193591000000,31,3901992,7,0,0,60230,0,0,264
Pakistan,660000,1397,0,117,796095,59044,9102115350,0,331,120,9,1390000000000,379,252363571,3,11881,550000,264175,652,8,2677
Panama,16300,38,0,77,75420,1550,1069750000,0,0,22,0,164484000000,23,4470241,12,77,0,11978,0,0,0
Paraguay,15650,49,0,83,406752,2876,416800000,0,0,73,0,112919000000,18,7522549,1,30,168500,78811,0,0,10
Peru,120000,252,0,174,1285216,9168,2552000000,0,15,78,7,535911000000,112,32600249,20,1855,386000,70000,61,6,355
Philippines,160000,204,0,256,300000,20551,6571641011,0,0,127,4,1202000000000,130,118277063,70,77,1500000,216387,0,0,18
Poland,250000,457,0,318,312685,57972,55865141600,0,58,63,2,1649000000000,224,38746310,10,19461,350000,427580,298,1,798
Portugal,25000,128,0,136,92090,10419,6760000000,0,28,128,5,556942000000,36,10639726,36,3622,23500,136635,0,2,34
Qatar,26550,263,0,8,11586,5576,11950000000,0,115,125,0,317064000000,85,2552088,6,0,4000,7039,16,0,62
Republic of the Congo,10000,14,0,56,342000,804,933360000,0,2,4,0,39147000000,8,6097665,5,510,0,23324,30,0,61
Romania,90000,148,0,103,238391,13266,10230630000,0,29,18,3,774376000000,66,18148155,11,10628,55000,85387,243,0,451
