Country,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
Vietnam,105758975,54994667,45053323,1797903,450000,5000000,250000,265,61,0,6,91,3,0,101,0,1999,69914,30,3250,774,116,102147.0,0,0,6,0,9,17,27,8,0.0,0.0,0.0,0.0,36,57133000,16,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,88386937,49496685,41541860,1414191,610000,350000,220000,551,188,21,86,103,10,6,129,13,2675,75939,424,1803,1550,109,283516.0,0,0,25,0,7,3,21,1,0.0,0.0,0.0,0.0,177,28575000,18,965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkiye,84119531,42985080,36087279,1430032,481000,380000,150000,1101,201,0,84,301,27,7,509,111,2284,98193,1045,635,237,192,349739.0,0,1,14,0,17,9,40,11,0.0,0.0,0.0,0.0,116,36081000,54,1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,84119100,38694786,30955829,841191,184324,860000,0,569,127,63,55,16,27,3,292,49,296,87338,134,0,33,96,241492.0,0,0,6,0,11,6,54,12,0.0,0.0,0.0,0.0,840,43772000,35,595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,69920998,36358919,27968399,1118736,360850,200000,25000,496,73,26,52,134,25,0,258,7,744,52590,59,595,17,304,133523.0,0,1,0,0,7,5,254,5,0.0,0.0,0.0,0.0,105,40623000,21,884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,68459055,31491165,25192932,753050,141330,31940,0,625,103,38,30,201,29,9,262,50,288,94064,14,126,43,116,406308.0,2,0,10,6,7,0,26,8,0.0,0.0,0.0,0.0,1057,35359000,185,868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,68374591,30084820,23794358,752121,264000,43444,150000,974,223,0,118,140,44,15,452,67,427,110784,74,0,9,166,487471.0,1,3,9,11,5,0,22,19,0.0,0.0,0.0,0.0,1218,31725000,66,553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,67462121,12143182,6678750,607159,25000,0,6500,38,11,0,6,6,0,0,15,0,200,8408,0,205,70,12,0.0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,206,32983000,8,381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,60964931,27434219,22191235,548684,165500,18300,105000,714,88,65,31,152,22,8,352,37,203,87364,64,108,21,285,387892.0,2,0,8,3,14,0,15,10,0.0,0.0,0.0,0.0,655,25828000,123,1276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,60442647,27803618,14989776,1027525,68731,29350,50000,181,2,0,11,81,0,0,87,10,248,23024,52,434,201,63,43881.0,0,0,3,0,4,0,42,4,0.0,0.0,0.0,0.0,573,27766000,8,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,58246378,21551160,14037377,931942,50000,0,25000,154,17,0,21,30,2,0,84,2,188,9114,18,53,0,27,0.0,0,0,0,0,0,0,18,0,0.0,0.0,0.0,0.0,368,23781000,4,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myanmar,57527139,30489384,21975367,1035489,228000,19000,55000,331,70,20,33,120,5,0,86,9,1040,11576,225,1680,1520,239,89240.0,0,0,3,0,6,3,146,2,0.0,0.0,0.0,0.0,74,22742000,7,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,52081799,26040900,21353538,416654,450000,3100000,120000,1540,242,98,40,335,35,4,827,113,1831,117460,2780,5800,525,215,427946.0,0,2,22,14,18,3,96,14,0.0,0.0,0.0,0.0,92,29713000,15,2149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,50467278,26747657,17108407,1312149,300000,200000,17500,183,37,36,13,33,0,0,64,35,1055,8890,100,1150,800,10,0.0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,45,10949000,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,49588357,24298295,19190694,843002,429000,998000,150000,430,16,24,82,72,27,1,255,0,0,12780,6,110,0,213,31090.0,0,0,4,0,9,2,158,0,0.0,0.0,0.0,0.0,661,26822000,14,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,49283041,16756234,9905891,985661,45000,0,10000,51,6,0,3,12,0,0,30,6,259,9702,6,26,12,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,22829000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,47280433,21748999,17635602,330963,121802,24033,78470,440,136,12,51,108,8,0,169,17,298,49324,96,188,0,175,249889.0,1,0,2,0,11,0,112,6,0.0,0.0,0.0,0.0,365,24386000,52,503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,47022473,22570787,19185169,752360,130000,150000,150000,620,111,42,63,90,10,4,300,74,1485,24920,224,483,188,111,83480.0,0,0,6,0,8,8,75,3,0.0,0.0,0.0,0.0,95,13294000,17,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,46994384,20677529,17575900,704916,108000,12370,20000,241,23,11,25,71,13,2,96,0,362,22432,20,172,27,42,122128.0,0,0,2,3,0,6,13,0,0.0,0.0,0.0,0.0,764,22286000,37,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,42083436,17675043,14308368,715418,193000,0,100000,360,26,36,15,111,17,0,183,39,1188,37496,434,610,572,67,32565.0,0,0,0,0,0,1,55,0,0.0,0.0,0.0,0.0,73,12008000,6,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,40121552,15647405,8826741,842553,75000,0,90000,5,0,0,2,0,0,0,3,0,0,3902,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,9133000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,38794813,16681770,13500595,426743,63500,23000,5500,354,66,0,29,95,34,6,146,0,74,21780,0,0,0,67,119637.0,0,0,4,0,12,0,17,0,0.0,0.0,0.0,0.0,1425,22868000,284,716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,38746310,18985692,15576017,464956,250000,350000,50000,457,58,12,44,112,11,0,224,29,798,57972,593,0,298,63,55530.0,0,0,1,0,2,2,3,29,0.0,0.0,0.0,0.0,318,18245000,10,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,37387585,17946041,15254135,635589,400000,250000,50000,271,84,0,31,77,4,2,73,6,1346,17594,544,188,185,100,0.0,0,0,0,0,6,1,84,0,0.0,0.0,0.0,0.0,48,12475000,12,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,37202061,7440412,3720206,372021,107000,0,10000,278,67,6,32,56,2,0,115,14,319,2258,25,575,116,32,0.0,0,0,0,0,0,0,32,0,0.0,0.0,0.0,0.0,107,15961000,21,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,36544431,19003104,17468238,621255,247000,0,150000,917,283,81,49,202,16,22,264,34,1085,22370,380,557,327,32,49727.0,0,0,0,0,7,9,9,3,0.0,0.0,0.0,0.0,90,17168000,16,433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,36520593,18990708,15959499,730412,120000,0,20000,159,26,13,12,7,0,0,101,34,470,8692,177,236,108,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,13974000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,35661826,18187531,12731272,392280,900000,4000000,100000,347,88,30,22,72,5,0,140,39,1121,45458,682,625,288,169,22266.0,0,0,0,0,0,0,133,5,0.0,0.0,0.0,0.0,152,20539000,26,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,34589092,14873310,9961658,622604,15500,0,0,18,0,0,2,5,2,0,9,0,0,3648,0,6,6,20,0.0,0,0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,11,13927000,4,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,34564810,16245461,13480276,553037,113000,51600,100000,132,25,11,15,31,6,4,45,0,48,15415,0,196,36,100,67735.0,0,0,2,0,2,4,72,4,0.0,0.0,0.0,0.0,100,18264000,35,1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,33350954,14674420,7770772,533615,11200,0,3000,23,8,2,5,1,0,0,7,2,60,3488,0,104,12,36,0.0,0,0,0,0,0,0,36,0,0.0,0.0,0.0,0.0,92,15173000,11,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peru,32600249,15648120,12681497,619405,120000,386000,60000,252,15,22,39,68,12,0,112,16,355,9168,12,290,61,78,171629.0,0,0,6,0,7,8,13,0,0.0,0.0,0.0,0.0,174,18918000,20,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yemen,32140443,12213368,9031464,610668,33350,0,20000,160,68,0,3,30,0,0,59,14,0,1550,12,60,30,26,0.0,0,0,0,0,0,1,9,0,0.0,0.0,0.0,0.0,37,7848000,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,31250306,15625153,12812625,625006,109000,8000,220000,224,30,0,47,75,3,1,85,10,282,15168,60,92,56,41,0.0,0,0,3,0,1,0,26,0,0.0,0.0,0.0,0.0,509,11136000,31,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,31122387,15249970,11733140,778060,98500,82000,15000,17,0,0,7,0,0,0,10,0,0,1108,0,14,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,8435000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
