Country,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
Romania,18148155,9437041,7731114,199630,90000,55000,15000,148,29,0,13,44,2,0,66,0,451,13266,0,720,243,18,0.0,0,0,0,0,3,7,0,7,0.0,0.0,0.0,0.0,103,8263000,11,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,17772378,7997570,6486918,195496,44245,8510,5000,130,0,38,4,21,0,0,67,16,18,6689,46,0,4,140,147606.0,0,0,3,0,6,0,76,3,0.0,0.0,0.0,0.0,44,10315000,18,1187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,17150352,6517134,3721626,360157,29000,0,21800,80,9,9,14,20,0,0,28,6,60,1248,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,144,6386000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,17063669,8190561,5733393,307146,124300,0,10000,24,0,0,4,0,0,0,20,0,520,5439,30,525,521,20,0.0,0,0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,12,9904000,2,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,14697052,5584880,3189260,308638,4750,0,0,7,0,0,1,0,1,0,5,0,0,92,0,16,0,2,0.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,10,6397000,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,13017273,2993973,1796384,130173,30000,0,2000,6,0,0,0,0,0,0,6,0,0,1104,0,0,0,19,0.0,0,0,0,0,0,0,19,0,0.0,0.0,0.0,0.0,40,3439000,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Sudan,12703714,6351857,4065188,330297,185000,0,0,19,0,0,4,0,0,0,15,6,122,2550,24,0,15,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,89,5091000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,12311974,5417269,4112199,233928,40000,40000,0,67,0,0,15,20,2,0,29,0,54,764,0,58,0,67,0.0,0,0,0,0,0,0,50,0,0.0,0.0,0.0,0.0,201,6859000,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,12048847,6024424,5181004,204830,89800,0,12000,155,10,0,12,28,4,0,101,0,145,13927,0,105,0,37,0.0,0,0,0,0,1,1,30,0,0.0,0.0,0.0,0.0,14,4247000,16,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,11977634,4910830,3880753,119776,26390,6600,0,104,44,12,7,27,0,0,14,0,0,3588,0,0,0,9,10190.0,0,0,0,0,2,0,2,5,0.0,0.0,0.0,0.0,48,5416000,7,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,11174024,3463947,2983464,145262,114500,100000,35000,279,44,10,12,66,11,0,159,44,1508,25278,478,80,84,27,0.0,0,0,0,0,0,0,27,0,0.0,0.0,0.0,0.0,18,3080000,1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,10966038,5921661,4737328,142558,50000,40000,1145000,20,11,0,4,3,0,0,13,4,194,7792,140,364,200,19,0.0,0,0,0,0,1,1,6,4,0.0,0.0,0.0,0.0,120,489000,34,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,10837890,5093808,4129236,97541,30334,4900,0,103,12,16,10,21,2,0,42,4,20,6275,53,0,16,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,252,5541000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,10815857,4975294,4034315,97343,89000,189000,30000,80,0,8,11,17,1,0,49,0,6,930,0,14,0,34,0.0,0,0,0,0,0,0,14,0,0.0,0.0,0.0,0.0,32,5413000,17,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,10650239,5218617,3908638,159754,128000,306000,15000,159,12,20,4,36,0,0,87,16,1354,14448,135,651,696,32,0.0,0,0,4,0,0,0,17,4,0.0,0.0,0.0,0.0,32,5020000,0,312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,10639726,5319863,4096295,127677,25000,23500,23300,128,28,5,20,23,16,4,36,0,34,10419,23,54,0,128,42755.0,0,0,2,0,5,2,71,0,0.0,0.0,0.0,0.0,136,5332100,36,1158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,10589835,4235934,3558185,105898,25600,34000,104400,172,73,0,6,36,3,1,53,0,110,27576,24,0,0,279,39816.0,0,0,4,0,0,7,116,8,0.0,0.0,0.0,0.0,206,5699000,92,361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,10461091,4916713,3985676,104611,142700,221350,55000,560,178,0,17,86,8,0,285,28,1344,56416,589,698,152,186,215808.0,0,0,9,0,14,0,45,3,0.0,0.0,0.0,0.0,82,4655000,57,1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tajikistan,10394063,4781269,3773045,176699,150000,600000,20000,25,0,0,1,4,0,0,20,6,38,6782,3,13,24,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19,2780000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,10032213,5818684,4945881,80258,65000,130000,12000,581,99,40,35,151,27,5,250,30,354,8982,165,99,49,84,20210.0,0,0,0,0,0,11,34,2,0.0,0.0,0.0,0.0,42,7090000,20,655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,9855745,4632200,3794462,118269,41600,20000,15000,80,12,0,3,17,0,0,50,8,220,11502,24,295,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,109,4954000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,9529188,4192843,3144632,95292,52225,0,23000,45,6,7,10,10,1,0,11,0,22,4666,0,48,0,98,0.0,0,0,0,0,0,0,93,0,0.0,0.0,0.0,0.0,129,4296000,8,489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,9501451,5035769,3724569,104516,63000,365400,55000,194,43,50,4,27,0,0,70,31,577,6820,357,190,206,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,4817000,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,9402617,3949099,3281513,131637,169500,465000,35000,597,239,45,14,148,19,13,127,48,1300,62380,323,171,228,82,40638.0,0,0,6,0,0,7,66,0,0.0,0.0,0.0,0.0,40,4710000,5,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,9121049,2006631,1203978,45605,13000,0,0,1,0,0,0,0,0,0,1,0,0,350,0,0,0,10,0.0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,8,2863000,3,584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,8967982,4035592,3632033,98648,25000,125600,0,90,15,0,11,23,0,0,41,0,56,5160,30,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,4768000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,8860574,3898653,3163225,97466,147178,0,5000,141,40,0,16,43,3,0,39,0,134,6885,133,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,5153000,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laos,7953556,3499565,2521277,159071,100000,30000,120000,29,0,0,2,7,0,0,20,0,160,7725,50,97,64,51,0.0,0,0,0,0,0,0,47,0,0.0,0.0,0.0,0.0,20,3585000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,7522549,3535598,3001497,150451,15650,168500,14800,49,0,4,12,14,1,0,18,0,10,2876,6,50,0,73,0.0,0,0,0,0,0,0,64,0,0.0,0.0,0.0,0.0,83,3502000,1,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libya,7361263,3827857,3290485,125141,32000,0,100000,83,10,1,12,35,0,0,22,4,55,2728,20,38,25,5,0.0,0,0,0,0,1,0,2,0,0.0,0.0,0.0,0.0,75,2585000,14,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,6782659,3187850,2611324,61044,36950,3000,0,71,11,5,6,26,0,0,23,4,334,6724,48,24,24,45,0.0,0,0,0,0,6,3,0,17,0.0,0.0,0.0,0.0,107,3124000,2,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicaragua,6676948,3271705,2777610,146893,45000,0,5500,17,0,0,5,1,0,0,12,0,186,6344,0,347,151,23,0.0,0,0,0,0,0,0,23,0,0.0,0.0,0.0,0.0,39,3225000,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia,6652212,3259584,2574406,79827,22500,2000,600000,115,11,17,3,33,0,0,51,4,242,7190,96,150,73,30,0.0,0,0,0,0,0,0,18,4,0.0,0.0,0.0,0.0,46,3230000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Salvador,6628702,3181777,2512278,145831,25000,0,15000,51,0,15,3,10,0,0,28,0,0,2144,0,76,0,13,0.0,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,27,2890000,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,6343956,2220385,1598677,76127,350000,680000,0,20,1,0,5,1,0,0,13,6,148,1040,45,89,44,23,0.0,0,0,0,0,0,0,18,0,0.0,0.0,0.0,0.0,11,1710000,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,6172101,3147772,2487357,117270,23000,0,55000,7,0,0,0,0,0,0,7,2,215,5372,30,174,21,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28,3197000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of the Congo,6097665,2256136,1353682,115856,10000,0,2500,14,2,0,4,0,0,0,8,1,61,804,3,38,30,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,2563000,5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,6028459,3918498,2628408,66313,51000,252500,12000,235,100,0,9,36,9,11,75,20,170,17244,48,89,24,101,93244.0,0,0,6,0,6,6,55,4,0.0,0.0,0.0,0.0,9,3722000,5,3202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,5973136,2628180,2126436,77651,21000,12000,51000,122,26,19,4,36,3,0,34,0,44,5930,19,0,8,50,121180.0,0,0,0,0,9,0,9,6,0.0,0.0,0.0,0.0,102,3210000,69,715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkmenistan,5744151,2768681,2245963,109139,36500,0,3500,91,22,27,5,11,0,0,26,10,654,11588,73,457,164,16,0.0,0,0,0,0,0,0,16,0,0.0,0.0,0.0,0.0,23,2445000,0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,5650957,2203873,1254512,101717,30000,0,1000,8,0,8,0,0,0,0,0,0,0,270,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,2000000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,5626414,2306830,1912981,56264,24000,870000,53800,162,53,0,11,77,1,0,27,0,200,14866,125,667,76,165,19434.0,0,0,0,0,0,0,8,18,0.0,0.0,0.0,0.0,98,2898000,37,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,5563649,2837461,2353424,61200,20982,0,0,48,7,0,7,11,1,0,22,0,45,6636,35,9,25,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,116,2779000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,5509733,2203893,1807192,71627,33440,20100,40500,109,0,43,4,23,5,0,34,0,36,11441,28,0,0,48,66022.0,0,0,6,0,4,6,20,5,0.0,0.0,0.0,0.0,146,3042000,141,1720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,5437249,2392390,1913912,65247,2100,0,5500,0,0,0,0,0,0,0,0,0,0,550,0,0,0,6,0.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,19,2607000,4,4821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,5364482,2092148,1775644,69738,80000,15000,65000,80,0,9,0,9,0,0,68,0,334,6912,12,350,11,48,0.0,0,0,0,0,0,0,42,0,0.0,0.0,0.0,0.0,8,1939000,5,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,5233461,2407392,1999182,57568,7557,1720,0,23,0,0,5,8,2,0,8,0,0,3296,0,0,0,8,0.0,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,100,2857000,21,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,5161211,2219321,1775457,61935,10050,3300,300,47,0,0,7,13,6,0,21,0,0,3378,0,31,0,8,0.0,0,0,0,0,2,0,4,0,0.0,0.0,0.0,0.0,206,3124000,22,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,4900961,2744538,2225036,93118,37000,205500,0,61,0,5,2,10,0,0,44,11,132,5974,67,121,42,19,0.0,0,0,0,0,0,0,31,4,0.0,0.0,0.0,0.0,21,1833000,3,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,4470241,2011608,1206965,53643,16300,0,80000,38,0,0,13,0,2,0,23,0,0,1550,0,0,0,22,0.0,0,0,0,0,0,0,14,0,0.0,0.0,0.0,0.0,77,2206000,12,8174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,4328040,1687936,1181555,82233,31540,66000,5000,23,0,4,7,6,2,0,4,0,51,5024,0,75,0,6,0.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,25,1210000,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,4150116,2033557,1564594,53952,14325,20100,2000,67,12,0,0,26,0,0,37,0,55,4874,25,42,42,30,0.0,0,0,0,0,0,0,11,1,0.0,0.0,0.0,0.0,45,1733000,16,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oman,3901992,1482757,1291559,50726,100000,0,10000,128,29,10,9,45,4,0,31,0,264,11380,24,144,0,17,22490.0,0,0,0,0,0,5,8,0,0.0,0.0,0.0,0.0,37,2696000,7,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,3798671,2355176,1956316,49383,18000,8000,0,15,0,0,0,0,0,0,15,0,45,892,0,300,24,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20,1356000,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moldova,3599528,2159717,1792565,71991,6500,2000,2000,3,0,0,1,0,0,0,2,0,0,1598,4,67,11,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,1358000,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,3425330,1575652,1322177,54805,24000,0,5000,43,0,6,6,12,5,2,12,0,62,5968,16,83,4,16,0.0,0,0,0,0,0,0,5,2,0.0,0.0,0.0,0.0,65,1768000,8,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,3281676,1870555,1552233,62352,35000,230000,50000,8,0,0,3,2,0,0,3,0,420,11040,0,500,130,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,37,1449000,0,318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,3138355,1726095,1449920,37660,78000,24000,7500,133,47,0,2,13,0,3,68,16,367,7472,51,0,27,123,0.0,0,0,0,0,0,0,106,0,0.0,0.0,0.0,0.0,6,3003000,6,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,3107100,1522479,1292554,62142,7500,0,500,20,0,0,1,0,0,0,19,0,0,1492,10,0,270,33,0.0,0,0,0,0,0,0,33,0,0.0,0.0,0.0,0.0,3,1370000,3,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2976765,1666988,1366335,44651,65000,210000,5000,69,4,14,3,12,0,0,36,20,109,1412,104,193,100,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,1510000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,2803660,616805,400923,30840,17567,0,5000,36,11,0,5,13,0,0,7,2,7,2402,0,50,55,15,0.0,0,0,0,0,0,2,15,0,0.0,0.0,0.0,0.0,259,1131000,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,2628186,1708321,1332490,36795,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,4553,16,54,0,13,0.0,0,0,0,0,0,0,5,4,0.0,0.0,0.0,0.0,64,1548000,2,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,2552088,638022,490001,12760,26550,4000,5500,263,115,6,12,45,0,0,85,24,62,5576,46,12,16,125,0.0,0,0,0,0,0,4,107,0,0.0,0.0,0.0,0.0,8,2123000,6,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,2455105,932940,532758,46647,5000,0,2500,25,6,0,3,0,0,0,16,0,0,424,0,4,28,5,0.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,42,824400,9,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2450668,1029281,617568,24507,12000,0,0,45,10,0,9,10,0,0,16,0,45,1224,12,36,20,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,122,1173000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,2135622,948216,783773,27763,10010,60000,3500,20,0,0,0,10,0,0,10,4,0,1878,0,156,18,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13,779200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,2097893,1006989,826570,22867,7000,26000,5000,40,0,0,5,23,0,0,16,0,54,4636,17,18,0,3,0.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,42,1058000,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosovo,1977093,917371,743387,17794,4000,5000,500,0,0,0,0,0,0,0,0,0,0,1357,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,500300,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,1801246,810561,648449,16211,17870,38000,12500,3,0,0,0,0,0,0,3,0,0,3410,47,0,0,18,0.0,0,0,0,0,0,0,11,6,0.0,0.0,0.0,0.0,55,954900,5,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,1566888,846120,720768,17236,18400,110000,1500,137,28,0,3,40,0,0,66,34,150,5196,38,26,18,64,0.0,0,0,0,0,2,2,50,0,0.0,0.0,0.0,0.0,3,913300,4,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,1193791,584958,456028,13132,7700,230000,10000,2,0,0,2,0,0,0,0,0,0,2579,48,0,6,8,0.0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,34,756200,20,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,884546,203446,122067,4423,16000,50000,0,2,0,0,0,0,0,0,2,0,0,78,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,406500,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,671254,154388,92633,3356,1200,0,0,1,0,0,1,0,0,0,0,0,0,476,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,350000,0,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suriname,646758,142287,84079,3234,2500,0,200,3,0,0,0,0,0,0,3,0,0,1250,0,0,0,17,0.0,0,0,0,0,0,0,17,0,0.0,0.0,0.0,0.0,55,255500,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,599849,143964,85179,3599,2350,0,5500,10,0,0,0,0,0,0,10,0,0,946,0,12,12,20,0.0,0,0,0,0,0,0,14,0,0.0,0.0,0.0,0.0,5,245300,4,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beliz,415789,158000,90226,8732,2000,850,0,3,0,0,1,0,1,0,1,0,0,164,0,0,0,15,0.0,0,0,0,0,0,0,15,0,0.0,0.0,0.0,0.0,27,190000,2,774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,364036,83728,50237,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,248400,43,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
