Country,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,defense_budget_usd,external_debt_usd,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,total_population,available_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,tanks,self_propelled_artillery,towed_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,coastal_patrol_craft,mine_warfare_craft,oil_production_bbl,oil_consumption_bbl,natural_gas_production_cum,natural_gas_consumption_cum,coal_production_cum,coal_consumption_mt,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,total_serviceable_airports,roadway_coverage_km,railway_coverage_km
Slovakia,218762000000,14452000000,2900000000,140360000000,49035,145,1587,172,5563649,0,3,1,4,0,0,31,5,0,5,7,1,0,0,32,25,6,,,,,,,,,7000,90000,52556000,60424000,2315000,6066000,2779000,0,0,116,45106,3627
Belarus,265220000000,8912000000,1034784000,18010000000,207600,145,3599,2500,9501451,0,2,1,7,8,6,107,24,28,2,15,0,0,17,375,232,124,,,,,,,,,30000,125000,73929000,16683000000,0,710000,4817000,4,0,46,86600,5528
Qatar,317064000000,53987000000,11950000000,205700000000,11586,563,87,0,2552088,0,2,5,0,2,2,171,75,4,8,29,0,0,16,40,30,8,0,0,0,0,4,0,107,0,1818000,268000,169595000000,41515000000,0,0,2123000,123,6,8,7039,0
Ecuador,252728000000,6908000000,2963400000,39658000000,283560,2237,2237,1500,18309984,0,8,8,2,6,0,64,0,0,13,22,5,0,0,121,3,64,0,0,0,2,6,2,5,0,480000,272000,309778000,309778000,0,14000,8821000,154,6,317,43950,965
Croatia,164825000000,3336000000,2744000000,60500000000,56594,5835,2237,4714,4150116,0,7,3,3,5,0,50,9,0,0,20,0,0,0,44,20,34,0,0,0,0,0,0,11,1,11000,70000,741456000,2502000000,0,596000,1733000,384,16,45,26958,2617
Jordan,109986000000,21939000000,2668500000,21058000000,89342,26,1744,0,11174024,0,7,3,0,9,3,181,29,7,8,43,7,0,29,980,311,52,0,0,0,0,0,0,27,0,20,97000,187262000,4382000000,0,269000,3080000,34,1,18,7203,509
Bahrain,93937000000,4949000000,997015509,54450000000,760,161,145,0,1566888,0,0,1,2,0,1,69,14,0,2,20,0,0,17,90,23,16,0,0,0,2,2,0,50,0,190000,72000,18005000000,17924000000,0,0,913300,184,4,3,4122,0
Kuwait,225947000000,50728000000,7987000000,60500000000,17818,499,475,0,3138355,0,2,2,5,8,2,80,28,0,1,8,0,2,10,220,31,0,0,0,0,0,0,0,106,0,2910000,430000,19285000000,26083000000,0,60000,3003000,176,6,6,5749,0
Albania,51360000000,6516000000,720037190,5363000000,28748,362,691,41,3107100,0,6,0,2,0,0,11,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,33,0,14000,21000,50623000,50623000,473000,255000,1370000,69,3,3,3581,424
Turkmenistan,134555000000,21073860000,1463000000,3696000000,488100,1768,4158,1300,5744151,2,1,9,6,0,1,55,13,16,3,7,0,0,6,392,44,274,0,0,0,0,0,0,16,0,272000,152000,86472000000,41561000000,0,0,2445000,73,0,23,58592,5113
Tunisia,156086000000,9344000000,2172751250,21212000000,163610,1148,1495,0,12048847,0,0,7,7,0,1,93,6,0,7,17,2,0,0,87,0,63,0,0,0,1,1,0,30,0,35000,104000,1323000000,5153000000,0,2000,4247000,72,16,14,32332,2173
Libya,90609000000,92894000000,1474800000,3654200000,1759540,1770,4339,0,7361263,0,7,7,4,0,4,29,4,0,4,12,0,0,1,22,8,15,0,0,0,1,0,0,2,0,1245000,207000,11832000000,9212000000,0,0,2585000,96,14,75,34000,0
Paraguay,112919000000,9886000000,416800000,13783000000,406752,145,4655,3100,7522549,0,9,0,2,2,2,27,0,2,7,8,1,0,0,6,3,28,,,,,,,,,2000,52000,0,0,0,700,3502000,108,1,83,78811,30
Bolivia,122200000000,1977000000,467670000,11174000000,1098581,145,7252,10000,12311974,0,4,9,3,3,0,37,0,0,8,11,1,0,0,30,0,32,,,,,,,,,58000,100000,13760000000,3055000000,0,9000,6859000,50,0,201,90568,3690
Cambodia,123676000000,22506000000,750000000,8019000000,181035,443,2530,3700,17063669,0,6,8,7,0,1,13,0,0,2,0,0,0,0,286,17,289,0,0,0,0,0,0,20,0,0,77000,0,0,27000,4390000,9904000,195,2,12,61810,642
Kenya,328632000000,10067000000,1651803025,31451000000,580367,536,3457,0,58246378,0,1,6,1,0,0,85,9,0,12,17,1,0,1,103,10,29,0,0,0,0,0,0,18,0,0,113000,0,0,0,1453000,23781000,26,4,368,161452,3819
Chad,52895000000,1050000000,706800000,2286000000,1284000,145,6406,12400,19093595,0,2,0,2,0,0,20,0,4,4,4,1,0,2,50,6,7,,,,,,,,,124000,15000,0,0,0,0,6600000,0,0,44,40000,0
Oman,193591000000,18287000000,8364000000,55986700000,309500,2092,1561,0,3901992,0,1,3,6,0,3,70,16,6,5,25,2,0,0,145,13,79,0,0,0,0,5,0,8,0,1056000,218000,40754000000,27364000000,0,82000,2696000,57,7,37,60230,0
Syria,98858000000,307766250,145925000,4441250000,187437,193,2363,900,23865423,0,5,8,4,0,2,42,21,2,1,3,0,0,3,84,30,0,0,0,0,0,0,0,8,0,65000,102000,3085000000,3084000000,0,15000,6617000,24,3,42,69873,2052
Lithuania,136227000000,7406000000,5651760000,48400000000,65300,90,1545,441,2628186,0,7,4,9,0,5,6,0,0,3,0,0,0,0,0,10,32,0,0,0,0,0,0,5,4,4000,67000,0,1601000000,0,166000,1548000,59,2,64,83821,1911
Tanzania,246706000000,5371525000,1476113361,17513000000,947300,1424,4161,0,67462121,0,9,9,0,0,0,17,5,0,3,3,0,0,0,100,0,103,0,0,0,0,0,0,10,0,0,85000,1808000000,1808000000,2341000,740000,32983000,381,8,206,145203,4097
