Country Name,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,continent,region,gdp_usd,alliance,power_index_rank_gap,force_readiness_index,air_superiority_index,logistics_index,superiority_index,coalition_score,coalition_budget,combined_personnel,power_advantage,budget_advantage
Bangladesh,168697184,82661620,66129296,3205246,204000,0,6800000,212,41,0,17,83,4,0,67,0,320,11584,36,487,103,121,75280.0,0,0,2,0,7,6,61,5,3340000000,58020000000,1473000000000,21395000000,17,77355000,2,558,2460,369105,13000,263000,28000000,24620000000.0,30384000000.0,126293000000.0,767000.0,14050000,3260000000.0,148460,580,4413,8370,Asia,Southern Asia,460000000000.0,Non-NATO,7,37.2522471681911,1.5181802196988627,2.327302187714745,16.054543589500522,9.779775895926846,3340000000.0,7004000,20.009700953111,2.403105271047194
Belarus,9501451,5035769,3724569,104516,63000,365400,55000,194,43,50,4,27,0,0,70,31,577,6820,357,190,206,0,1097488.7933333332,0,0,0,0,0,0,0,0,1034784000,18010000000,265220000000,8912000000,46,4817000,0,4,5528,86600,30000,125000,198000000,73929000.0,16683000000.0,2832000000.0,0.0,710000,0.0,207600,0,3599,2500,Europe,Eastern Europe,72793457588.0,Non-NATO,58,3.50330214706107,2.8768870205311807,0.7080997906468708,2.4768169021778434,1.531092373575843,1034784000.0,483400,24.519917629645775,4.790261149755531
Belgium,11977634,4910830,3880753,119776,26390,6600,0,104,44,12,7,27,0,0,14,0,0,3588,0,0,0,9,10190.0,0,0,0,0,2,0,2,5,14900000000,1594190730000,749229000000,41449000000,48,5416000,7,198,3602,118414,11000,596000,0,13436000.0,15347000000.0,0.0,1269000.0,4372000,4100000000.0,30528,67,1297,2043,Europe,Western Europe,579000000000.0,NATO,83,0.8495633838166998,1.6689124016640207,1.1739756929507033,1.1926917819110971,4.566292562617699,87003598982.25,32990,1.3274359377445417,8.744102507144325
Belize,415789,158000,90226,8732,2000,850,0,3,0,0,1,0,1,0,1,0,0,164,0,0,0,15,30674.713333333333,0,0,0,0,0,0,15,0,34400000,1235000000,5538000000,498087000,27,190000,2,774,0,3281,800,5000,6700000,0.0,0.0,0.0,0.0,0,0.0,22966,386,542,825,Americas,Latin America and the Caribbean,2824081836.0,Non-NATO,123,0.05443563790766515,0.006906077348066297,1.4422482168915154,0.45652054343494053,0.27462946912318054,34400000.0,2850,3.303498837144748,4.091946072597349
Benin,14697052,5584880,3189260,308638,4750,0,0,7,0,0,1,0,1,0,5,0,0,92,0,16,0,2,163900.33666666667,0,0,0,0,0,0,2,0,137690000,6309000000,56424000000,698900000,10,6397000,1,6,438,16000,0,40000,8000000,0.0,182131000.0,1133000000.0,0.0,164000,0.0,112622,121,2123,150,Africa,Sub-Saharan Africa,17401746309.0,Non-NATO,140,0.32971422551247653,0.01611418047882136,0.11705200310286692,0.1718355452794971,0.10839092127289682,137690000.0,4750,0.1557634912087106,2.626754492216772
Bhutan,884546,203446,122067,4423,16000,50000,0,2,0,0,0,0,0,0,2,0,0,78,0,0,0,0,1097488.7933333332,0,0,0,0,0,0,0,0,26600000,2827000000,11517000000,941018000,4,406500,0,0,0,12205,0,4000,0,0.0,0.0,0.0,4000.0,105000,0.0,38394,0,1136,0,Asia,Southern Asia,2539551327.0,Non-NATO,137,0.6018926417116175,0.004604051565377532,0.03334728003793962,0.2521424561656421,0.15165732565757148,26600000.0,66000,35.960507026615865,3.506127350350575
Bolivia,12311974,5417269,4112199,233928,40000,40000,0,67,0,0,15,20,2,0,29,0,54,764,0,58,0,67,33004.04,0,0,0,0,0,0,50,0,467670000,11174000000,122200000000,1977000000,201,6859000,0,50,3690,90568,58000,100000,240900000,13760000000.0,3055000000.0,302990000000.0,0.0,9000,1000000.0,1098581,0,7252,10000,Americas,Latin America and the Caribbean,43068885673.0,Non-NATO,96,1.3383234955985555,0.15423572744014732,0.9159533133263519,0.856386110469372,0.5337288448109025,467670000.0,80000,3.1315877902734024,3.6380606879062256
Bosnia and Herzegovina,3798671,2355176,1956316,49383,18000,8000,0,15,0,0,0,0,0,0,15,0,45,892,0,300,24,0,1097488.7933333332,0,0,0,0,0,0,0,0,289920000,5359000000,64641000000,9419000000,20,1356000,1,0,965,8619,0,34000,0,0.0,225824000.0,0.0,12311000.0,12304000,2264000000.0,51197,20,1543,990,Europe,Southern Europe,24527507288.0,Non-NATO,133,0.5543616451367089,0.03453038674033149,0.13554421853734971,0.27276703963798793,0.1756887492683108,289920000.0,26000,3.2987086594451496,3.96811631125127
Botswana,2450668,1029281,617568,24507,12000,0,0,45,10,0,9,10,0,0,16,0,45,1224,12,36,20,0,1097488.7933333332,0,0,0,0,0,0,0,0,581000000,1761000000,45553000000,3456000000,122,1173000,0,0,888,31747,0,22000,0,0.0,0.0,0.0,2242000.0,1351000,1660000000.0,581730,0,4347,0,Africa,Sub-Saharan Africa,20352322157.0,Non-NATO,130,0.32439855459519906,0.35484744162802967,0.3362746093304432,0.3370960371256214,0.2271717034738476,581000000.0,12000,2.359929667292566,9.709707798247498
Brazil,220051512,112226271,88680759,3520824,376000,1340000,200000,495,44,30,107,124,25,0,186,0,294,22464,149,412,82,69,166419.0,0,1,6,0,8,2,22,4,26400000000,198582000000,4165000000000,329732000000,5297,106790000,45,888,29850,2000000,4221000,3163000,12715000000,22670000000.0,31654000000.0,363985000000.0,15556000.0,32223000,6596000000.0,8515770,7491,16145,50000,Americas,Latin America and the Caribbean,1920000000000.0,Non-NATO,11,20.000676942761682,3.0549656058054793,18.885113800752116,14.58229459907195,9.917248663071318,26400000000.0,1916000,4.196366792012308,4.630529823621961
Bulgaria,6782659,3187850,2611324,61044,36950,3000,0,71,11,5,6,26,0,0,23,4,334,6724,48,24,24,45,1178352.5366666666,0,0,0,0,6,3,0,17,2485350000,14277000000,219645000000,43698000000,107,3124000,2,78,4029,19512,4000,101000,15000000,20837000.0,2801000000.0,5663000000.0,20970000.0,20557000,2174000000.0,110880,354,1806,470,Europe,Eastern Europe,89040398406.0,NATO,103,1.019289714901361,0.5748149409825719,0.6714535008403136,0.7815964185074101,3.7700624978259394,74588948982.25,39950,2.838697361775661,9.491912667926957
Burkina Faso,23042199,8525614,6060098,368675,7500,0,4500,26,0,3,2,0,2,0,19,5,0,876,0,8,9,0,1097488.7933333332,0,0,0,0,0,0,0,0,4590000000,3565000000,60001000000,47138000,49,6461000,0,0,622,15304,0,37000,0,0.0,0.0,0.0,0.0,0,0.0,274200,0,3611,0,Africa,Sub-Saharan Africa,18884619613.0,Non-NATO,131,0.5302898206170836,0.14084619086826644,0.15495132852697166,0.30085518406540485,0.3828979654911031,4590000000.0,12000,0.250991848385848,83.34052775925049
Cambodia,17063669,8190561,5733393,307146,124300,0,10000,24,0,0,4,0,0,0,20,0,520,5439,30,525,521,20,30450.753333333334,0,0,0,0,0,0,20,0,750000000,8019000000,123676000000,22506000000,12,9904000,2,195,642,61810,0,77000,0,0.0,0.0,0.0,27000.0,4390000,0.0,181035,443,2530,3700,Asia,South-eastern Asia,29956769529.0,Non-NATO,72,3.3368005855706553,0.05524861878453038,0.6266637480446223,1.5392939442770082,0.9559717550186637,750000000.0,134300,3.7932012796304897,8.504528984587592
