country,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,power_index,power_index_rank,gdp_usd,continent,region,alliance
North Korea,9467520,5312331,420779,1320000,560000,100000,837,341,114,1,176,0,0,205,20,4895,47792,1300,700,1500,332,143304,0,0,24,2,2,8,227,1,4750000000.0,6050000000.0,15416000000.0,5500000000.0,81,17637000,10,264,7435,25554,0,18000,0.0,0.0,0.0,0.0,21927000,22105000,10600000000.0,120538,2495,1607,2250,0.5933,31,,,,Non-NATO
Romania,9437041,7731114,199630,90000,55000,15000,148,29,0,13,44,2,0,66,0,451,13266,0,720,243,18,121180,0,0,0,0,3,7,0,7,10230630000.0,145200000000.0,774376000000.0,73391000000.0,103,8263000,11,127,10628,85387,67000,220000,600000000.0,9501000000.0,10055000000.0,105480000000.0,14752000,15533000,291000000.0,238391,225,2844,1731,0.9558,52,301000000000.0,Europe,Eastern Europe,NATO
Kazakhstan,9117003,6928922,283640,110000,135000,55000,168,37,13,21,25,0,0,72,12,353,17460,126,194,287,26,121180,0,0,0,0,0,0,23,2,5836386000.0,25765000000.0,739385000000.0,45808000000.0,132,10285000,0,122,16636,96167,1955000,386000,30000000000.0,27011000000.0,22623000000.0,2407000000000.0,120279000,86349000,25605000000.0,2724900,26,13364,43983,1.0433,58,221000000000.0,Asia,Central Asia,Non-NATO
Chile,8959033,7521855,298634,80000,40000,50000,274,45,0,33,92,18,5,86,0,386,7480,48,249,9,130,176065,0,0,4,0,8,0,40,0,6800000000.0,235950000000.0,596556000000.0,44403000000.0,379,10088000,39,249,7282,77801,11000,404000,150000000.0,1200000000.0,6916000000.0,97976000000.0,474000,8087000,1181000000.0,756102,6435,7801,12290,0.8704,49,301000000000.0,Americas,Latin America and the Caribbean,Non-NATO
Burkina Faso,8525614,6060098,368675,7500,0,4500,26,0,3,2,0,2,0,19,5,0,876,0,8,9,0,121180,0,0,0,0,0,0,0,0,4590000000.0,3565000000.0,60001000000.0,47138000.0,49,6461000,0,0,622,15304,0,37000,0.0,0.0,0.0,0.0,0,0,0.0,274200,0,3611,0,2.9213,127,18884619613.0,Africa,Sub-Saharan Africa,Non-NATO
Ecuador,8422593,6738074,329580,41250,118000,1500,99,0,0,20,34,8,0,43,0,202,5322,5,106,24,30,121180,0,0,2,0,2,6,5,0,2963400000.0,39658000000.0,252728000000.0,6908000000.0,317,8821000,6,154,965,43950,480000,272000,8273000000.0,309778000.0,309778000.0,10902000000.0,0,14000,24000000.0,283560,2237,2237,1500,1.4479,72,115000000000.0,Americas,Latin America and the Caribbean,Non-NATO
Cambodia,8190561,5733393,307146,124300,0,10000,24,0,0,4,0,0,0,20,0,520,5439,30,525,521,20,121180,0,0,0,0,0,0,20,0,750000000.0,8019000000.0,123676000000.0,22506000000.0,12,9904000,2,195,642,61810,0,77000,0.0,0.0,0.0,0.0,27000,4390000,0.0,181035,443,2530,3700,1.8434,83,29956769529.0,Asia,South-eastern Asia,Non-NATO
Netherlands,7997570,6486918,195496,44245,8510,5000,130,0,38,4,21,0,0,67,16,18,6689,46,0,4,140,147606,0,0,3,0,6,0,76,3,31791150000.0,5257950000000.0,1276000000000.0,79129000000.0,44,10315000,18,1187,3055,139027,70000,840000,137747000.0,17774000000.0,33243000000.0,132608000000.0,1761000,12796000,3247000000.0,41543,451,1053,6237,0.6142,34,991000000000.0,Europe,Western Europe,NATO
Niger,7902835,5294900,447827,25000,0,5000,26,0,2,7,0,2,0,13,2,0,1550,0,0,0,0,121180,0,0,0,0,0,0,0,0,488400000.0,3793000000.0,47921000000.0,1442772000.0,26,10486000,0,0,0,18949,13000,18000,150000000.0,29509000.0,29858000.0,0.0,427000,426000,90000000.0,1267000,0,5834,300,2.6867,120,13969605583.0,Africa,Sub-Saharan Africa,Non-NATO
Guatemala,7484639,6279794,182552,106114,90000,35000,35,0,3,10,0,2,0,20,0,0,3268,0,110,0,25,121180,0,0,0,0,0,0,20,0,616000000.0,11862000000.0,232673000000.0,24412000000.0,58,7575000,3,9,800,17440,6000,117000,86110000.0,3276000.0,2986000.0,0.0,0,1012000,0.0,108889,400,1667,990,2.1277,96,95003333381.0,Americas,Latin America and the Caribbean,Non-NATO
Angola,7440412,3720206,372021,107000,0,10000,278,67,6,32,56,2,0,115,14,319,2258,25,575,116,32,121180,0,0,0,0,0,0,32,0,31200000000.0,45299000000.0,278239000000.0,14243000000.0,107,15961000,21,64,2761,76000,1175000,121000,7783000000.0,5514000000.0,1397000000.0,343002000000.0,0,0,0.0,1246700,1600,5369,1300,1.1045,59,107000000000.0,Africa,Sub-Saharan Africa,Non-NATO
Zambia,7279691,4139024,374384,15150,0,1200,78,0,0,13,34,0,0,33,0,75,848,12,60,50,0,121180,0,0,0,0,0,0,0,0,385321000.0,16597000000.0,79207000000.0,3017000000.0,120,7407000,0,2,3126,67671,0,34000,0.0,0.0,0.0,0.0,2091000,2081000,945000000.0,752618,0,6043,0,2.4461,111,29784454056.0,Africa,Sub-Saharan Africa,Non-NATO
Senegal,7162057,4089912,395798,17000,0,0,39,0,0,5,22,1,0,19,5,0,1860,0,20,6,4,121180,0,0,0,0,0,0,4,0,777800000.0,14985000000.0,83183000000.0,889295000.0,20,5763000,6,36,906,16665,9000,65000,0.0,54646000.0,54498000.0,0.0,0,138000,0.0,196722,531,2684,1000,2.8925,126,27684430244.0,Africa,Sub-Saharan Africa,Non-NATO
Chad,6873694,3856906,381872,37750,0,5000,40,0,7,7,8,2,0,16,3,90,4345,10,13,16,0,121180,0,0,0,0,0,0,0,0,706800000.0,2286000000.0,52895000000.0,1050000000.0,44,6600000,0,0,0,40000,124000,15000,1500000000.0,0.0,0.0,0.0,0,0,0.0,1284000,0,6406,12400,1.8594,85,12704149842.0,Africa,Sub-Saharan Africa,Non-NATO
Mali,6817088,4288168,351850,40000,0,4800,44,9,12,8,4,1,0,10,8,0,3717,0,50,30,0,121180,0,0,0,0,0,0,0,0,1110000000.0,4085000000.0,71253000000.0,647800000.0,30,9126000,0,0,593,139107,0,46000,0.0,0.0,0.0,0.0,0,0,0.0,1240192,0,7908,1800,2.2598,104,18827176532.0,Africa,Sub-Saharan Africa,Non-NATO
Zimbabwe,6517134,3721626,360157,29000,0,21800,80,9,9,14,20,0,0,28,6,60,1248,0,0,0,0,121180,0,0,0,0,0,0,0,0,1976800000.0,6671000000.0,57391000000.0,484973000.0,144,6386000,0,0,3427,97267,800,34000,0.0,0.0,0.0,0.0,7968000,6705000,502000000.0,390757,0,3229,0,2.2801,105,20678055598.0,Africa,Sub-Saharan Africa,Non-NATO
South Sudan,6351857,4065188,330297,185000,0,0,19,0,0,4,0,0,0,15,6,122,2550,24,0,15,0,121180,0,0,0,0,0,0,0,0,30700000.0,2722500000.0,6752000000.0,128248000.0,89,5091000,0,0,248,90200,146000,11000,3750000000.0,0.0,0.0,0.0,0,0,0.0,644329,0,6018,0,2.4645,113,11997800760.0,Africa,Sub-Saharan Africa,Non-NATO
Tunisia,6024424,5181004,204830,89800,0,12000,155,10,0,12,28,4,0,101,0,145,13927,0,105,0,37,121180,0,0,0,0,1,1,30,0,2172751250.0,21212000000.0,156086000000.0,9344000000.0,14,4247000,16,72,2173,32332,35000,104000,425000000.0,1323000000.0,5153000000.0,65129000000.0,0,2000,0.0,163610,1148,1495,0,1.7823,79,46664948952.0,Africa,Northern Africa,Non-NATO
Cuba,5921661,4737328,142558,50000,40000,1145000,20,11,0,4,3,0,0,13,4,194,7792,140,364,200,19,121180,0,0,0,0,1,1,6,4,3301500000.0,36372600000.0,81165000000.0,10442000000.0,120,489000,34,65,8367,60000,34000,118000,124000000.0,659434000.0,659434000.0,70792000000.0,0,1000,0.0,110860,3735,29,240,1.3345,65,107000000000.0,Americas,Latin America and the Caribbean,Non-NATO
United Arab Emirates,5818684,4945881,80258,65000,130000,12000,581,99,40,35,151,27,5,250,30,354,8982,165,99,49,84,20210,0,0,0,0,0,11,34,2,23480000000.0,290400000000.0,745994000000.0,237931000000.0,42,7090000,20,655,0,4080,4146000,846000,97800000000.0,56683000000.0,66091000000.0,6091000000.0,0,5411000,0.0,83600,1318,1066,0,1.0188,54,508000000000.0,Asia,Western Asia,Non-NATO
Benin,5584880,3189260,308638,4750,0,0,7,0,0,1,0,1,0,5,0,0,92,0,16,0,2,121180,0,0,0,0,0,0,2,0,137690000.0,6309000000.0,56424000000.0,698900000.0,10,6397000,1,6,438,16000,0,40000,8000000.0,0.0,182131000.0,1133000000.0,0,164000,0.0,112622,121,2123,150,3.8963,138,17401746309.0,Africa,Sub-Saharan Africa,Non-NATO
Bolivia,5417269,4112199,233928,40000,40000,0,67,0,0,15,20,2,0,29,0,54,764,0,58,0,67,121180,0,0,0,0,0,0,50,0,467670000.0,11174000000.0,122200000000.0,1977000000.0,201,6859000,0,50,3690,90568,58000,100000,240900000.0,13760000000.0,3055000000.0,302990000000.0,0,9000,1000000.0,1098581,0,7252,10000,1.8301,82,43068885673.0,Americas,Latin America and the Caribbean,Non-NATO
Portugal,5319863,4096295,127677,25000,23500,23300,128,28,5,20,23,16,4,36,0,34,10419,23,54,0,128,42755,0,0,2,0,5,2,71,0,6760000000.0,530000000000.0,556942000000.0,55160000000.0,136,5332100,36,1158,3622,136635,12932,200000,22440000.0,0.0,3700000000.0,72000000000.0,0,0,40000000.0,92090,1793,1224,764,0.6659,38,252000000000.0,Europe,Southern Europe,NATO
Azerbaijan,5218617,3908638,159754,128000,306000,15000,159,12,20,4,36,0,0,87,16,1354,14448,135,651,696,32,121180,0,0,4,0,0,0,17,4,5100000000.0,12378000000.0,225198000000.0,12699000000.0,32,5020000,0,312,2944,24981,618000,109000,7000000000.0,34175000000.0,11759000000.0,1699000000000.0,0,6000,0.0,86600,713,2468,0,1.1991,60,78721058824.0,Asia,Western Asia,Non-NATO
Czechia,5093808,4129236,97541,30334,4900,0,103,12,16,10,21,2,0,42,4,20,6275,53,0,16,0,121180,0,0,0,0,0,0,0,0,9174000000.0,232320000000.0,521928000000.0,146281000000.0,252,5541000,0,0,9548,129418,4000,219000,15000000.0,224725000.0,7602000000.0,3964000000.0,31946000,33239000,3595000000.0,78867,0,2046,664,1.0313,55,291000000000.0,,,Non-NATO
Belarus,5035769,3724569,104516,63000,365400,55000,194,43,50,4,27,0,0,70,31,577,6820,357,190,206,0,121180,0,0,0,0,0,0,0,0,1034784000.0,18010000000.0,265220000000.0,8912000000.0,46,4817000,0,4,5528,86600,30000,125000,198000000.0,73929000.0,16683000000.0,2832000000.0,0,710000,0.0,207600,0,3599,2500,1.4072,70,72793457588.0,Europe,Eastern Europe,Non-NATO
Dominican Republic,4975294,4034315,97343,89000,189000,30000,80,0,8,11,17,1,0,49,0,6,930,0,14,0,34,121180,0,0,0,0,0,0,14,0,903000000.0,35044000000.0,276884000000.0,13471000000.0,32,5413000,17,40,496,19705,0,146000,0.0,0.0,2440000000.0,0.0,0,2356000,0.0,48320,1288,376,0,2.5853,115,114000000000.0,Americas,Latin America and the Caribbean,Non-NATO
Greece,4916713,3985676,104611,142700,221350,55000,560,178,0,17,86,8,0,285,28,1344,56416,589,698,152,186,215808,0,0,9,0,14,0,45,3,8242150000.0,605000000000.0,192205000000.0,15222000000.0,82,4655000,57,1215,2345,117000,5000,308000,10000000.0,3284000.0,5173000000.0,991090000.0,10469000,10091000,2876000000.0,131957,13676,1110,6,0.5484,30,219000000000.0,Europe,Southern Europe,NATO
Belgium,4910830,3880753,119776,26390,6600,0,104,44,12,7,27,0,0,14,0,0,3588,0,0,0,9,10190,0,0,0,0,2,0,2,5,14900000000.0,1594190000000.0,749229000000.0,41449000000.0,48,5416000,7,198,3602,118414,11000,596000,0.0,13436000.0,15347000000.0,0.0,1269000,4372000,4100000000.0,30528,67,1297,2043,1.2201,61,579000000000.0,Europe,Western Europe,NATO
Tajikistan,4781269,3773045,176699,150000,600000,20000,25,0,0,1,4,0,0,20,6,38,6782,3,13,24,0,121180,0,0,0,0,0,0,0,0,450460000.0,3024000000.0,50370000000.0,3026450000.0,19,2780000,0,0,680,30000,300,31000,12000000.0,18476000.0,85567000.0,5663000000.0,2394000,2297000,4075000000.0,144100,0,4130,200,2.1749,100,10492123388.0,Asia,Central Asia,Non-NATO
Hungary,4632200,3794462,118269,41600,20000,15000,80,12,0,3,17,0,0,50,8,220,11502,24,295,0,0,121180,0,0,0,0,0,0,0,0,5887250000.0,151250000000.0,389207000000.0,46422000000.0,109,4954000,0,1,7687,203601,36000,179000,12100000.0,1523000000.0,9485000000.0,3738000000.0,4293000,4694000,2633000000.0,103000,0,2106,1622,1.0429,57,179000000000.0,Europe,Eastern Europe,NATO
Sweden,4235934,3558185,105898,25600,34000,104400,172,73,0,6,36,3,1,53,0,110,27576,24,0,0,279,39816,0,0,4,0,0,7,116,8,15900000000.0,1102690000000.0,668628000000.0,62569000000.0,206,5699000,92,361,10910,197964,11000,270000,0.0,0.0,889924000.0,0.0,1042000,3170000,5000000.0,450295,3218,2211,2052,0.4834,26,586000000000.0,Europe,Northern Europe,NATO
Honduras,4192843,3144632,95292,52225,0,23000,45,6,7,10,10,1,0,11,0,22,4666,0,48,0,98,121180,0,0,0,0,0,0,93,0,612300000.0,7785000000.0,71297000000.0,8036000000.0,129,4296000,8,489,699,14742,20,71000,0.0,0.0,0.0,0.0,0,144000,0.0,112090,832,1575,465,2.2575,103,31717700115.0,Americas,Latin America and the Caribbean,Non-NATO
Austria,4035592,3632033,98648,25000,125600,0,90,15,0,11,23,0,0,41,0,56,5160,30,0,0,0,121180,0,0,0,0,0,0,0,0,6103900800.0,693000000000.0,581131000000.0,35406000000.0,62,4768000,0,1,6123,126233,18000,244000,35200000.0,618209000.0,8136000000.0,5040000000.0,1288000,5403000,0.0,83871,0,2524,358,1.3759,67,471000000000.0,Europe,Western Europe,Non-NATO
Israel,3949099,3281513,131637,169500,465000,35000,597,239,45,14,148,19,13,127,48,1300,62380,323,171,228,82,40638,0,0,6,0,0,7,66,0,34600000000.0,163350000000.0,472177000000.0,214544000000.0,40,4710000,5,41,1497,20391,15000,219000,12730000.0,22886000000.0,11510000000.0,176018000000.0,0,5297000,0.0,21937,273,1068,0,0.2707,15,522000000000.0,Asia,Western Asia,Non-NATO
Singapore,3918498,2628408,66313,51000,252500,12000,235,100,0,9,36,9,11,75,20,170,17244,48,89,24,101,93244,0,0,6,0,6,6,55,4,18000000000.0,1884750000000.0,800304000000.0,383946000000.0,9,3722000,5,3202,0,3500,0,1514000,0.0,0.0,13724000000.0,0.0,0,1153000,0.0,719,193,0,0,0.5272,29,467000000000.0,Asia,South-eastern Asia,Non-NATO
Switzerland,3898653,3163225,97466,147178,0,5000,141,40,0,16,43,3,0,39,0,134,6885,133,0,0,0,121180,0,0,0,0,0,0,0,0,8372658426.0,2420000000000.0,741035000000.0,909366000000.0,66,5153000,0,17,5296,83131,300,194000,0.0,0.0,3138000000.0,0.0,0,126000,0.0,41277,0,1770,1292,0.8396,46,808000000000.0,Europe,Western Europe,Non-NATO
Libya,3827857,3290485,125141,32000,0,100000,83,10,1,12,35,0,0,22,4,55,2728,20,38,25,5,121180,0,0,0,0,1,0,2,0,1474800000.0,3654200000.0,90609000000.0,92894000000.0,75,2585000,14,96,0,34000,1245000,207000,48363000000.0,11832000000.0,9212000000.0,1505000000000.0,0,0,0.0,1759540,1770,4339,0,1.7872,80,45752336036.0,Africa,Northern Africa,Non-NATO
Paraguay,3535598,3001497,150451,15650,168500,14800,49,0,4,12,14,1,0,18,0,10,2876,6,50,0,73,121180,0,0,0,0,0,0,64,0,416800000.0,13783000000.0,112919000000.0,9886000000.0,83,3502000,1,108,30,78811,2000,52000,0.0,0.0,0.0,0.0,0,700,0.0,406752,0,4655,3100,1.7974,81,41722295362.0,Americas,Latin America and the Caribbean,Non-NATO
Laos,3499565,2521277,159071,100000,30000,120000,29,0,0,2,7,0,0,20,0,160,7725,50,97,64,51,121180,0,0,0,0,0,0,47,0,355600000.0,9619000000.0,66905000000.0,1770000000.0,20,3585000,0,1,422,59647,0,25000,0.0,0.0,0.0,0.0,16629000,15944000,62000000.0,236800,0,5274,4600,2.8672,125,,Asia,South-eastern Asia,Non-NATO
Jordan,3463947,2983464,145262,114500,100000,35000,279,44,10,12,66,11,0,159,44,1508,25278,478,80,84,27,121180,0,0,0,0,0,0,27,0,2668500000.0,21058000000.0,109986000000.0,21939000000.0,18,3080000,1,34,509,7203,20,97000,1000000.0,187262000.0,4382000000.0,6031000000.0,0,269000,0.0,89342,26,1744,0,1.5581,74,47451499859.0,Asia,Western Asia,Non-NATO
Nicaragua,3271705,2777610,146893,45000,0,5500,17,0,0,5,1,0,0,12,0,186,6344,0,347,151,23,121180,0,0,0,0,0,0,23,0,1311600000.0,6753000000.0,52989000000.0,6105000000.0,39,3225000,5,5,0,24033,200,28000,0.0,0.0,0.0,0.0,0,0,0.0,130370,910,1253,2220,2.5894,116,15671583878.0,Americas,Latin America and the Caribbean,Non-NATO
Serbia,3259584,2574406,79827,22500,2000,600000,115,11,17,3,33,0,0,51,4,242,7190,96,150,73,30,121180,0,0,0,0,0,0,18,4,2770000000.0,21726000000.0,177093000000.0,30484000000.0,46,3230000,0,0,3333,45022,13000,88000,77500000.0,353376000.0,2939000000.0,48139000000.0,33219000,37828000,7112000000.0,77474,0,2322,587,1.2938,63,63501748652.0,Europe,Southern Europe,Non-NATO
Bulgaria,3187850,2611324,61044,36950,3000,0,71,11,5,6,26,0,0,23,4,334,6724,48,24,24,45,121180,0,0,0,0,6,3,0,17,2485350000.0,14277000000.0,219645000000.0,43698000000.0,107,3124000,2,78,4029,19512,4000,101000,15000000.0,20837000.0,2801000000.0,5663000000.0,20970000,20557000,2174000000.0,110880,354,1806,470,1.2522,62,89040398406.0,Europe,Eastern Europe,NATO
El Salvador,3181777,2512278,145831,25000,0,15000,51,0,15,3,10,0,0,28,0,0,2144,0,76,0,13,121180,0,0,0,0,0,0,8,0,1037200000.0,12668000000.0,73961000000.0,3705000000.0,27,2890000,3,5,13,9012,3,56000,0.0,0.0,226472.0,0.0,0,500,0.0,21041,307,590,422,2.9973,129,32488720000.0,Americas,Latin America and the Caribbean,Non-NATO
Kyrgyzstan,3147772,2487357,117270,23000,0,55000,7,0,0,0,0,0,0,7,2,215,5372,30,174,21,0,121180,0,0,0,0,0,0,0,0,654000000.0,3617000000.0,50907000000.0,5089000000.0,28,3197000,0,0,424,34000,6000,31000,40000000.0,31026000.0,438000000.0,5663000000.0,3685000,4212000,28499000000.0,199951,0,4573,576,2.3969,109,,Asia,Central Asia,Non-NATO
Somalia,2993973,1796384,130173,30000,0,2000,6,0,0,0,0,0,0,6,0,0,1104,0,0,0,19,121180,0,0,0,0,0,0,19,0,870000000.0,2563000000.0,26770000000.0,16747500.0,40,3439000,6,4,0,15000,0,6000,0.0,0.0,0.0,5663000000.0,0,0,0.0,637657,3025,2385,0,3.7393,137,8126105600.0,Africa,Sub-Saharan Africa,Non-NATO
Slovakia,2837461,2353424,61200,20982,0,0,48,7,0,7,11,1,0,22,0,45,6636,35,9,25,0,121180,0,0,0,0,0,0,0,0,2900000000.0,140360000000.0,218762000000.0,14452000000.0,116,2779000,0,0,3627,45106,7000,90000,9000000.0,52556000.0,60424000.0,14158000000.0,2315000,6066000,19000000.0,49035,0,1587,172,1.3911,69,,Europe,Eastern Europe,NATO
Turkmenistan,2768681,2245963,109139,36500,0,3500,91,22,27,5,11,0,0,26,10,654,11588,73,457,164,16,121180,0,0,0,0,0,0,16,0,1463000000.0,3696000000.0,134555000000.0,21073860000.0,23,2445000,0,73,5113,58592,272000,152000,600000000.0,86472000000.0,41561000000.0,11327000000000.0,0,0,799999000.0,488100,1768,4158,1300,1.7459,78,45610571429.0,Asia,Central Asia,Non-NATO
Georgia,2744538,2225036,93118,37000,205500,0,61,0,5,2,10,0,0,44,11,132,5974,67,121,42,19,121180,0,0,0,0,0,0,31,4,680000000.0,9085000000.0,91849000000.0,4447000000.0,21,1833000,3,26,1363,40044,300,34000,35000000.0,8760000.0,2796000000.0,8495000000.0,148000,384000,900999000.0,69700,310,1814,0,2.0779,95,24605375420.0,Asia,Western Asia,Non-NATO
Denmark,2628180,2126436,77651,21000,12000,51000,122,26,19,4,36,3,0,34,0,44,5930,19,0,8,50,121180,0,0,0,0,9,0,9,6,14250000000.0,611050000000.0,440558000000.0,108405000000.0,102,3210000,69,715,2682,73591,63000,151000,441000000.0,1879000000.0,2208000000.0,29534000000.0,0,1135000,0.0,43094,7314,140,400,0.8198,45,395000000000.0,Europe,Northern Europe,NATO
Ireland,2407392,1999182,57568,7557,1720,0,23,0,0,5,8,2,0,8,0,0,3296,0,0,0,8,121180,0,0,0,0,0,0,8,0,1754400500.0,3630000000000.0,620544000000.0,12698000000.0,100,2857000,21,94,1688,102227,600,159000,0.0,1447000000.0,5280000000.0,9911000000.0,0,1341000,40000000.0,70273,1448,443,956,2.0661,94,529000000000.0,Europe,Northern Europe,Non-NATO
Liberia,2392390,1913912,65247,2100,0,5500,0,0,0,0,0,0,0,0,0,0,550,0,0,0,6,121180,0,0,0,0,0,0,6,0,20700000.0,1335000000.0,9308000000.0,599660000.0,19,2607000,4,4821,429,10600,0,5000,0.0,0.0,0.0,0.0,0,0,0.0,111369,579,1667,0,3.9275,141,4001047150.0,Africa,Sub-Saharan Africa,Non-NATO
Bosnia and Herzegovina,2355176,1956316,49383,18000,8000,0,15,0,0,0,0,0,0,15,0,45,892,0,300,24,0,121180,0,0,0,0,0,0,0,0,289920000.0,5359000000.0,64641000000.0,9419000000.0,20,1356000,1,0,965,8619,0,34000,0.0,0.0,225824000.0,0.0,12311000,12304000,2264000000.0,51197,20,1543,990,3.1291,133,24527507288.0,,,Non-NATO
Finland,2306830,1912981,56264,24000,870000,53800,162,53,0,11,77,1,0,27,0,200,14866,125,667,76,165,19434,0,0,0,0,0,0,8,18,8890000000.0,726000000000.0,313591000000.0,17993000000.0,98,2898000,37,282,5918,108637,8000,175000,0.0,0.0,1157000000.0,0.0,811000,3933000,0.0,338145,1250,2563,8000,0.8673,48,281000000000.0,Europe,Northern Europe,NATO
Republic of the Congo,2256136,1353682,115856,10000,0,2500,14,2,0,4,0,0,0,8,1,61,804,3,38,30,4,121180,0,0,0,0,0,0,0,0,933360000.0,6360000000.0,39147000000.0,715391000.0,56,2563000,5,11,510,23324,267000,13000,2885000000.0,423000000.0,423000000.0,283990000000.0,0,0,0.0,342000,169,5008,1120,2.6259,117,,,,Non-NATO
Eritrea,2220385,1598677,76127,350000,680000,0,20,1,0,5,1,0,0,13,6,148,1040,45,89,44,23,121180,0,0,0,0,0,0,18,0,219000000.0,461376000.0,2534000000.0,191694000.0,11,1710000,2,9,306,16000,0,5000,0.0,0.0,0.0,0.0,0,0,0.0,117600,2234,1840,0,2.6841,119,2065001626.0,Africa,Sub-Saharan Africa,Non-NATO
New Zealand,2219321,1775457,61935,10050,3300,300,47,0,0,7,13,6,0,21,0,0,3378,0,31,0,8,121180,0,0,0,0,2,0,4,0,2455949332.0,230651000000.0,257117000000.0,22065000000.0,206,3124000,22,117,4128,94000,12000,154000,40993000.0,3770000000.0,3819000000.0,31149000000.0,3011000,2696000,6750000000.0,268838,15134,0,0,1.9258,90,247000000000.0,Oceania,Australia and New Zealand,Non-NATO
Norway,2203893,1807192,71627,33440,20100,40500,109,0,43,4,23,5,0,34,0,36,11441,28,0,0,48,66022,0,0,6,0,4,6,20,5,11189483200.0,787758000000.0,507680000000.0,81242000000.0,146,3042000,141,1720,3848,95120,2020000,229000,8122200000.0,123727000000.0,4548000000.0,1544460000000.0,120000,1096000,2000000.0,323802,25148,2566,1577,0.6679,39,579000000000.0,Europe,Northern Europe,NATO
Central African Republic,2203873,1254512,101717,30000,0,1000,8,0,8,0,0,0,0,0,0,0,270,0,0,0,0,121180,0,0,0,0,0,0,0,0,300000000.0,724179000.0,5926000000.0,374405000.0,43,2000000,0,0,0,24000,0,2000,0.0,0.0,0.0,0.0,0,0,3000000.0,622984,0,5920,2800,4.2381,143,2382618615.0,Africa,Sub-Saharan Africa,Non-NATO
Moldova,2159717,1792565,71991,6500,2000,2000,3,0,0,1,0,0,0,2,0,0,1598,4,67,11,0,121180,0,0,0,0,0,0,0,0,114114000.0,2637000000.0,39342000000.0,5848000000.0,10,1358000,0,75,1171,9488,0,22000,0.0,10000.0,2344000000.0,0.0,0,90000,0.0,33851,0,1885,558,3.6225,136,14420947884.0,Europe,Eastern Europe,Non-NATO
Lebanon,2092148,1775644,69738,80000,15000,65000,80,0,9,0,9,0,0,68,0,334,6912,12,350,11,48,121180,0,0,0,0,0,0,42,0,800000000.0,41619000000.0,65415000000.0,33301000000.0,8,1939000,5,51,401,21705,0,115000,0.0,0.0,0.0,0.0,0,166000,0.0,10400,225,484,0,2.6521,118,23131941557.0,Asia,Western Asia,Non-NATO
Croatia,2033557,1564594,53952,14325,20100,2000,67,12,0,0,26,0,0,37,0,55,4874,25,42,42,30,121180,0,0,0,0,0,0,11,1,2744000000.0,60500000000.0,164825000000.0,3336000000.0,45,1733000,16,384,2617,26958,11000,70000,71000000.0,741456000.0,2502000000.0,24919000000.0,0,596000,0.0,56594,5835,2237,4714,1.5432,73,70964606465.0,Europe,Southern Europe,NATO
Panama,2011608,1206965,53643,16300,0,80000,38,0,0,13,0,2,0,23,0,0,1550,0,0,0,22,121180,0,0,0,0,0,0,14,0,1069750000.0,1227090000000.0,164484000000.0,6856000000.0,77,2206000,12,8174,77,11978,0,131000,0.0,0.0,389611000.0,0.0,0,863000,0.0,75420,2490,687,800,3.5011,135,76522511781.0,Americas,Latin America and the Caribbean,Non-NATO
Sierra Leone,2006631,1203978,45605,13000,0,0,1,0,0,0,0,0,0,1,0,0,350,0,0,0,10,121180,0,0,0,0,0,0,10,0,450000000.0,1451000000.0,26728000000.0,495699000.0,8,2863000,3,584,0,11701,0,9000,0.0,0.0,0.0,0.0,0,0,0.0,71740,402,1093,800,3.9201,140,3970343852.0,Africa,Sub-Saharan Africa,Non-NATO
Mongolia,1870555,1552233,62352,35000,230000,50000,8,0,0,3,2,0,0,3,0,420,11040,0,500,130,0,121180,0,0,0,0,0,0,0,0,1590000000.0,8379000000.0,59221000000.0,5508000000.0,37,1449000,0,318,1815,113200,15000,39000,0.0,0.0,0.0,0.0,68824000,8941000,2520000000.0,1564116,0,8082,580,1.9987,93,16810883361.0,Asia,Eastern Asia,Non-NATO
Kuwait,1726095,1449920,37660,78000,24000,7500,133,47,0,2,13,0,3,68,16,367,7472,51,0,27,123,121180,0,0,0,0,0,0,106,0,7987000000.0,60500000000.0,225947000000.0,50728000000.0,6,3003000,6,176,0,5749,2910000,430000,101500000000.0,19285000000.0,26083000000.0,1784000000000.0,0,60000,0.0,17818,499,475,0,1.7161,76,185000000000.0,Asia,Western Asia,Non-NATO
