country,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km,power_index,power_index_rank,gdp_usd,continent,region,alliance
Japan,52976836,42874277,1108818,251500,56000,25000,1429,217,47,53,399,135,10,583,118,734,54390,193,480,99,158,798062,0,4,23,41,8,0,6,18,58000000000.0,5147670000000.0,5715000000000.0,1231000000000.0,280,69382000,163,5229,27311,1218772,8000,3140000,44115000.0,2220000000.0,92843000000.0,20898000000.0,27657000,197612000,350000000.0,377915,29751,0,1770,0.1876,7,4230000000000.0,Asia,Eastern Asia,Non-NATO
Philippines,50859137,41751803,2128987,160000,1500000,35000,204,0,17,23,23,11,0,130,6,18,20551,12,296,0,127,84578,0,0,0,0,4,1,60,0,6571641011.0,63241000000.0,1202000000000.0,106195000000.0,256,50979000,70,2203,77,216387,10000,457000,138500000.0,2251000000.0,2251000000.0,98543000000.0,14457000,42859000,361000000.0,300000,36289,0,3219,0.6993,41,404000000000.0,Asia,South-eastern Asia,Non-NATO
Iran,49496685,41541860,1414191,610000,350000,220000,551,188,21,86,103,10,6,129,13,2675,75939,424,1803,1550,109,283516,0,0,25,0,7,3,21,1,9230000000.0,6759000000.0,1486000000000.0,120600000000.0,177,28575000,18,965,8484,223485,4112000,2415000,208600000000.0,263280000000.0,244890000000.0,33987000000000.0,2209000,3032000,1203000000.0,1648195,2440,5894,850,0.3199,16,,Asia,Southern Asia,Non-NATO
Egypt,45611372,38269053,1668709,438500,479000,300000,1088,242,90,53,344,11,0,348,100,3620,54694,1056,962,648,149,235989,0,2,8,0,13,7,61,17,5193500000.0,117272000000.0,1958000000000.0,44921000000.0,73,33749000,31,441,5085,65050,667000,830000,3300000000.0,64817000000.0,60089000000.0,1784000000000.0,69000,3262000,182000000.0,1001450,2450,2612,3500,0.3651,19,,Africa,Northern Africa,Non-NATO
Turkiye,42985080,36087279,1430032,481000,380000,150000,1101,201,0,84,301,27,7,509,111,2284,98193,1045,635,237,192,349739,0,1,14,0,17,9,40,11,51400000000.0,149654000000.0,3018000000000.0,154744000000.0,116,36081000,54,1170,11497,68526,83000,1107000,366000000.0,379701000.0,52887000000.0,3794000000.0,82534000,124183000,10975000000.0,783562,7200,2816,1200,0.1975,9,906000000000.0,,,Non-NATO
Democratic Republic of the Congo,39237029,31389623,2538867,166580,30800,10000,56,0,6,10,2,0,0,38,9,212,7164,16,125,81,16,121180,0,0,0,0,0,0,16,0,960000000.0,7926000000.0,164367000000.0,3898125000.0,273,38546000,3,24,4007,152373,19000,35000,180000000.0,380000.0,380000.0,991090000.0,0,304000,987999000.0,2344858,37,10481,15000,1.3051,64,,,,Non-NATO
Germany,38694786,30955829,841191,184324,860000,0,569,127,63,55,16,27,3,292,49,296,87338,134,0,33,96,241492,0,0,6,0,11,6,54,12,127400000000.0,6862470000000.0,5247000000000.0,377936000000.0,840,43772000,35,595,39379,830000,131000,2062000,115200000.0,4824000000.0,77516000000.0,23390000000.0,109741000,140994000,35400000000.0,357022,2389,3694,7300,0.2463,12,4070000000000.0,Europe,Western Europe,NATO
Thailand,36358919,27968399,1118736,360850,200000,25000,496,73,26,52,134,25,0,258,7,744,52590,59,595,17,304,133523,0,1,0,0,7,5,254,5,6006660000.0,37065000000.0,1558000000000.0,236934000000.0,105,40623000,21,884,4127,180053,386000,1397000,252750000.0,30797000000.0,48898000000.0,138243000000.0,12812000,42371000,1063000000.0,513120,3219,5673,4000,0.4458,24,495000000000.0,Asia,South-eastern Asia,Non-NATO
United Kingdom,31491165,25192932,753050,141330,31940,0,625,103,38,30,201,29,9,262,50,288,94064,14,126,43,116,406308,2,0,10,6,7,0,26,8,88526529585.0,10553100000000.0,3636000000000.0,174598000000.0,1057,35359000,185,868,16390,416461,753000,1406000,2500000000.0,37758000000.0,70141000000.0,180661000000.0,1568000,7372000,26000000.0,243610,12429,499,3200,0.1881,8,3070000000000.0,Europe,Northern Europe,NATO
Myanmar,30489384,21975367,1035489,228000,19000,55000,331,70,20,33,120,5,0,86,9,1040,11576,225,1680,1520,239,89240,0,0,3,0,6,3,146,2,2815031361.0,8748000000.0,287559000000.0,8590400000.0,74,22742000,7,101,5031,157000,7000,122000,139000000.0,16780000000.0,3788000000.0,637129000000.0,1031000,907000,252000000.0,676578,1930,6522,12800,0.6265,35,59364362541.0,Asia,South-eastern Asia,Non-NATO
France,30084820,23794358,752121,264000,43444,150000,974,223,0,118,140,44,15,452,67,427,110784,74,0,9,166,487471,1,3,9,11,5,0,22,19,67232395000.0,7691320000000.0,3732000000000.0,282857000000.0,1218,31725000,66,553,27860,1053215,80000,1536000,61719000.0,20132000.0,37001000000.0,7787000000.0,2157000,12570000,160000000.0,643801,4853,4072,8501,0.1798,6,2780000000000.0,Europe,Western Europe,NATO
South Africa,27803618,14989776,1027525,68731,29350,50000,181,2,0,11,81,0,0,87,10,248,23024,52,434,201,63,43881,0,0,3,0,4,0,42,4,2877000000.0,93879000000.0,870420000000.0,65435000000.0,573,27766000,8,110,30400,750000,88000,609000,15000000.0,59128000.0,4487000000.0,0.0,239712000,176095000,9893000000.0,1219090,2798,5244,0,0.6843,40,406000000000.0,Africa,Sub-Saharan Africa,Non-NATO
Italy,27434219,22191235,548684,165500,18300,105000,714,88,65,31,152,22,8,352,37,203,87364,64,108,21,285,387892,2,0,8,3,14,0,15,10,37325165000.0,3025000000000.0,3133000000000.0,290547000000.0,655,25828000,123,1276,18475,228863,111000,1245000,497934000.0,3117000000.0,68735000000.0,45750000000.0,1572000,12424000,609999000.0,301340,7600,1836,2400,0.2211,10,2010000000000.0,Europe,Southern Europe,NATO
Sudan,26747657,17108407,1312149,300000,200000,17500,183,37,36,13,33,0,0,64,35,1055,8890,100,1150,800,10,121180,0,0,0,0,0,0,10,0,394700000.0,21650000000.0,94420000000.0,192348850.0,45,10949000,4,14,7251,31000,68000,129000,1250000000.0,0.0,0.0,84951000000.0,0,0,0.0,1861484,853,6819,4068,1.3563,66,51662241775.0,Africa,Northern Africa,Non-NATO
South Korea,26040900,21353538,416654,450000,3100000,120000,1540,242,98,40,335,35,4,827,113,1831,117460,2780,5800,525,215,427946,0,2,22,14,18,3,96,14,44800000000.0,553871000000.0,2607000000000.0,418219000000.0,92,29713000,15,2149,3979,100428,38000,2542000,0.0,55127000.0,59480000000.0,7079000000.0,16081000,136817000,326000000.0,99720,2413,237,1600,0.1642,5,,Asia,Eastern Asia,Non-NATO
Colombia,24298295,19190694,843002,429000,998000,150000,430,16,24,82,72,27,1,255,0,0,12780,6,110,0,213,31090,0,0,4,0,9,2,158,0,15800000000.0,108027000000.0,978024000000.0,61898000000.0,661,26822000,14,153,2141,206102,800000,374000,2036000000.0,11290000000.0,11451000000.0,87782000000.0,52376000,9720000,4554000000.0,1138910,3208,6672,24725,0.7551,43,344000000000.0,Americas,Latin America and the Caribbean,Non-NATO
Algeria,22570787,19185169,752360,130000,150000,150000,620,111,42,63,90,10,4,300,74,1485,24920,224,483,188,111,83480,0,0,6,0,8,8,75,3,25000000000.0,4764000000.0,722912000000.0,83007000000.0,95,13294000,17,119,4020,112696,1443000,446000,12200000000.0,100726000000.0,47963000000.0,4504000000000.0,0,3000,233000000.0,2381740,998,6734,0,0.4849,27,192000000000.0,Africa,Northern Africa,Non-NATO
Spain,21748999,17635602,330963,121802,24033,78470,440,136,12,51,108,8,0,169,17,298,49324,96,188,0,175,249889,1,0,2,0,11,0,112,6,39000676350.0,2830010000000.0,2361000000000.0,107774000000.0,365,24386000,52,503,15489,150110,47000,1325000,150000000.0,41009000.0,32833000000.0,2549000000.0,1280000,7388000,1187000000.0,505370,4964,1953,1000,0.3247,18,1400000000000.0,Europe,Southern Europe,NATO
Kenya,21551160,14037377,931942,50000,0,25000,154,17,0,21,30,2,0,84,2,188,9114,18,53,0,27,121180,0,0,0,0,0,0,18,0,1651803025.0,31451000000.0,328632000000.0,10067000000.0,368,23781000,4,26,3819,161452,0,113000,0.0,0.0,0.0,0.0,0,1453000,0.0,580367,536,3457,0,1.8588,84,113000000000.0,Africa,Sub-Saharan Africa,Non-NATO
Argentina,20677529,17575900,704916,108000,12370,20000,241,23,11,25,71,13,2,96,0,362,22432,20,172,27,42,122128,0,0,2,3,0,6,13,0,993919790.0,74362000000.0,1213000000000.0,29560000000.0,764,22286000,37,201,17866,240000,807000,749000,2483000000.0,43280000000.0,46228000000.0,396464000000.0,869000,2534000,799999000.0,2780400,4989,11968,11000,0.5983,32,633000000000.0,Americas,Latin America and the Caribbean,Non-NATO
